title,job_title,company,location,description,requirements,experience,salary_min,salary_max,salary_text,job_type,link,apply_link,source,platform,posted_date,keywords_matched,ats_score,role,target_level,score,profile_role,experience_match,location_match,role_keyword_hits
Fresher,Fresher,Unifybrains Infotech,Remote,"ios trainee

Posted: 30+ days ago",ios trainee,0-2 yrs,0,0,Not disclosed,Job,https://www.naukri.com/job-listings-Fresher-Unifybrains-Infotech-Chennai-Pune-Delhi-Mumbai-Bengaluru-Hyderabad-Kolkata-0-to-2-years-200520500046?src=jobsearchDesk&sid=17754424851923&xp=1&px=1,https://www.naukri.com/job-listings-Fresher-Unifybrains-Infotech-Chennai-Pune-Delhi-Mumbai-Bengaluru-Hyderabad-Kolkata-0-to-2-years-200520500046?src=jobsearchDesk&sid=17754424851923&xp=1&px=1,Naukri,Naukri,30+ days ago,[],0,ai_engineer,mid,5.0,ai_engineer,True,True,1
CIPLA Limited : Urgent Hiring For Freshers / Experienced,CIPLA Limited : Urgent Hiring For Freshers / Experienced,Cipla,Remote,"Retail Sales, Sales, Prescription Medicines, B2C Sales, Field Sales...

Posted: 29 days ago","Retail Sales, Sales, Prescription Medicines, B2C Sales, Field Sales...",0-2 yrs,0,0,Not disclosed,Job,https://www.naukri.com/job-listings-CIPLA-Limited-Urgent-Hiring-For-Freshers-Experienced-Cipla-Bengaluru-Hyderabad-Mumbai-All-Areas-0-to-2-years-100226038312?src=jobsearchDesk&sid=17754424851923&xp=6&px=1,https://www.naukri.com/job-listings-CIPLA-Limited-Urgent-Hiring-For-Freshers-Experienced-Cipla-Bengaluru-Hyderabad-Mumbai-All-Areas-0-to-2-years-100226038312?src=jobsearchDesk&sid=17754424851923&xp=6&px=1,Naukri,Naukri,29 days ago,[],0,ai_engineer,mid,5.0,ai_engineer,True,True,1
