title,company,location,job_type,url,link,source,score,posted_at,posted_text,scraped_on,scraped_time,run_profile,job_window,scraped_at,status,notes
Business Analyst/Data Analyst/Office Executive,Syncretic Engineering,Bhopal,Internship,https://internshala.com/internship/detail/business-analyst-data-analyst-office-executive-internship-in-bhopal-at-syncretic-engineering1773841939,https://internshala.com/internship/detail/business-analyst-data-analyst-office-executive-internship-in-bhopal-at-syncretic-engineering1773841939,Internshala - Internship,6,,2 days ago,2026-03-21,11:22:07,hourly,24h,2026-03-21 11:32,,
Business Analyst Intern,Webs IT Solution,India,Job,https://in.linkedin.com/jobs/view/business-analyst-intern-at-webs-it-solution-4388705378?position=48&pageNum=0&refId=MZe8PIyKh9Ud7lBMQFydfg%3D%3D&trackingId=RbLD1CxyFKA9%2Fv7segQw0w%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-intern-at-webs-it-solution-4388705378?position=48&pageNum=0&refId=MZe8PIyKh9Ud7lBMQFydfg%3D%3D&trackingId=RbLD1CxyFKA9%2Fv7segQw0w%3D%3D,LinkedIn,5,2026-03-21,19 minutes ago,2026-03-21,11:20:12,hourly,24h,2026-03-21 11:32,,
Data Analyst Intern,Webs X UM,India,Job,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-x-um-4388592995?position=6&pageNum=0&refId=MZe8PIyKh9Ud7lBMQFydfg%3D%3D&trackingId=QsTeouD%2FEOP5sN35iqFguQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-x-um-4388592995?position=6&pageNum=0&refId=MZe8PIyKh9Ud7lBMQFydfg%3D%3D&trackingId=QsTeouD%2FEOP5sN35iqFguQ%3D%3D,LinkedIn,5,2026-03-21,34 minutes ago,2026-03-21,11:20:12,hourly,24h,2026-03-21 11:32,,
Data Analyst Intern,Webs IT Solution,India,Job,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-it-solution-4388596987?position=8&pageNum=0&refId=MZe8PIyKh9Ud7lBMQFydfg%3D%3D&trackingId=LGevyhYq57NvWLhasxDTPQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-it-solution-4388596987?position=8&pageNum=0&refId=MZe8PIyKh9Ud7lBMQFydfg%3D%3D&trackingId=LGevyhYq57NvWLhasxDTPQ%3D%3D,LinkedIn,5,2026-03-21,19 minutes ago,2026-03-21,11:20:12,hourly,24h,2026-03-21 11:32,,
"Data Analyst Intern (Excel, SQL, Power BI)",SkillFied Mentor,India,Job,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-skillfied-mentor-4388596910?position=6&pageNum=2&refId=WpMnThj3oMW%2FU3Rt9YqDjw%3D%3D&trackingId=fWQ2p7Ln2Yc3lADX0%2FHqCQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-skillfied-mentor-4388596910?position=6&pageNum=2&refId=WpMnThj3oMW%2FU3Rt9YqDjw%3D%3D&trackingId=fWQ2p7Ln2Yc3lADX0%2FHqCQ%3D%3D,LinkedIn,5,2026-03-21,1 hour ago,2026-03-21,11:20:12,hourly,24h,2026-03-21 11:32,,
Junior Business Analyst,Drona Pay Private Limited,Mumbai,Job,https://internshala.com/job/detail/fresher-junior-business-analyst-job-in-mumbai-at-drona-pay-private-limited1773723555,https://internshala.com/job/detail/fresher-junior-business-analyst-job-in-mumbai-at-drona-pay-private-limited1773723555,Internshala - Job,4,,4 days ago,2026-03-21,11:22:07,hourly,24h,2026-03-21 11:32,,
Junior Business Analyst,Zulitech Solution,Work from home,Job,https://internshala.com/job/detail/fresher-remote-junior-business-analyst-job-at-zulitech-solution1772197934,https://internshala.com/job/detail/fresher-remote-junior-business-analyst-job-at-zulitech-solution1772197934,Internshala - Job,4,,3 weeks ago,2026-03-21,11:22:07,hourly,24h,2026-03-21 11:32,,
Junior Data Analyst,DataVinci Private Limited,Work from home,Job,https://internshala.com/job/detail/fresher-remote-junior-data-analyst-job-at-datavinci-private-limited1772696243,https://internshala.com/job/detail/fresher-remote-junior-data-analyst-job-at-datavinci-private-limited1772696243,Internshala - Job,4,,2 weeks ago,2026-03-21,11:22:07,hourly,24h,2026-03-21 11:32,,
Business Analyst,Evolko,Lucknow,Internship,https://internshala.com/internship/detail/business-analyst-internship-in-lucknow-at-evolko1773127414,https://internshala.com/internship/detail/business-analyst-internship-in-lucknow-at-evolko1773127414,Internshala - Internship,3,,1 week ago,2026-03-21,11:22:07,hourly,24h,2026-03-21 11:32,,
Business Analyst,Brain Quest,Work from home,Internship,https://internshala.com/internship/detail/work-from-home-business-analyst-internship-at-brain-quest1773304101,https://internshala.com/internship/detail/work-from-home-business-analyst-internship-at-brain-quest1773304101,Internshala - Internship,3,,1 week ago,2026-03-21,11:22:07,hourly,24h,2026-03-21 11:32,,
