title,company,location,job_type,url,link,source,score,posted_at,posted_text,scraped_on,scraped_time,run_profile,job_window,scraped_at,status,notes
Business Analyst/Data Analyst/Office Executive,Syncretic Engineering,Bhopal,Internship,https://internshala.com/internship/detail/business-analyst-data-analyst-office-executive-internship-in-bhopal-at-syncretic-engineering1773841939,https://internshala.com/internship/detail/business-analyst-data-analyst-office-executive-internship-in-bhopal-at-syncretic-engineering1773841939,Internshala - Internship,6,,2 days ago,2026-03-21,12:43:43,hourly,24h,2026-03-21 12:53,,
Data Analyst Intern,MTAB Technology Center P LTD - MTC,India,Job,https://in.linkedin.com/jobs/view/data-analyst-intern-at-mtab-technology-center-p-ltd-mtc-4387900830?position=16&pageNum=0&refId=eL9PuAqITxB3iMxjUiolLg%3D%3D&trackingId=dOkVM%2FkcWzabORpn7CYPcA%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-mtab-technology-center-p-ltd-mtc-4387900830?position=16&pageNum=0&refId=eL9PuAqITxB3iMxjUiolLg%3D%3D&trackingId=dOkVM%2FkcWzabORpn7CYPcA%3D%3D,LinkedIn,5,2026-03-20,1 day ago,2026-03-21,12:41:46,hourly,24h,2026-03-21 12:53,,
Data Analyst Intern,Webs IT Solution,India,Job,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-it-solution-4388374185?position=50&pageNum=0&refId=eL9PuAqITxB3iMxjUiolLg%3D%3D&trackingId=mi3V8CStTLLPWbNg2UYojw%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-it-solution-4388374185?position=50&pageNum=0&refId=eL9PuAqITxB3iMxjUiolLg%3D%3D&trackingId=mi3V8CStTLLPWbNg2UYojw%3D%3D,LinkedIn,5,2026-03-20,18 hours ago,2026-03-21,12:41:46,hourly,24h,2026-03-21 12:53,,
Data Analyst Intern,Infrabyte Consulting,India,Job,https://in.linkedin.com/jobs/view/data-analyst-intern-at-infrabyte-consulting-4388360316?position=33&pageNum=0&refId=eL9PuAqITxB3iMxjUiolLg%3D%3D&trackingId=c%2Fcz9t0DgASmCobA7mCQCw%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-infrabyte-consulting-4388360316?position=33&pageNum=0&refId=eL9PuAqITxB3iMxjUiolLg%3D%3D&trackingId=c%2Fcz9t0DgASmCobA7mCQCw%3D%3D,LinkedIn,5,2026-03-20,18 hours ago,2026-03-21,12:41:46,hourly,24h,2026-03-21 12:53,,
Data Analyst Intern,Webs X UM,India,Job,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-x-um-4388360390?position=55&pageNum=0&refId=eL9PuAqITxB3iMxjUiolLg%3D%3D&trackingId=fRqgrI8o8dCtYOYthR5fBQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-x-um-4388360390?position=55&pageNum=0&refId=eL9PuAqITxB3iMxjUiolLg%3D%3D&trackingId=fRqgrI8o8dCtYOYthR5fBQ%3D%3D,LinkedIn,5,2026-03-20,18 hours ago,2026-03-21,12:41:46,hourly,24h,2026-03-21 12:53,,
"Data Analyst Intern (Excel, SQL, Power BI)",ArGo Intern,India,Job,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-argo-intern-4387929165?position=22&pageNum=0&refId=eL9PuAqITxB3iMxjUiolLg%3D%3D&trackingId=3R8PNwnVA9SOJsTP6FtIxQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-argo-intern-4387929165?position=22&pageNum=0&refId=eL9PuAqITxB3iMxjUiolLg%3D%3D&trackingId=3R8PNwnVA9SOJsTP6FtIxQ%3D%3D,LinkedIn,5,2026-03-20,22 hours ago,2026-03-21,12:41:46,hourly,24h,2026-03-21 12:53,,
"Data Analyst Intern (Excel, SQL, Power BI)",SkillFied Mentor,India,Job,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-skillfied-mentor-4388596910?position=3&pageNum=2&refId=tqLXVxKsl0sljuoIRnzMxg%3D%3D&trackingId=tLlXMcozWKAqwOIoh8gnbw%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-skillfied-mentor-4388596910?position=3&pageNum=2&refId=tqLXVxKsl0sljuoIRnzMxg%3D%3D&trackingId=tLlXMcozWKAqwOIoh8gnbw%3D%3D,LinkedIn,5,2026-03-21,3 hours ago,2026-03-21,12:41:46,hourly,24h,2026-03-21 12:53,,
Junior Business Analyst,Drona Pay Private Limited,Mumbai,Job,https://internshala.com/job/detail/fresher-junior-business-analyst-job-in-mumbai-at-drona-pay-private-limited1773723555,https://internshala.com/job/detail/fresher-junior-business-analyst-job-in-mumbai-at-drona-pay-private-limited1773723555,Internshala - Job,4,,4 days ago,2026-03-21,12:43:43,hourly,24h,2026-03-21 12:53,,
Junior Business Analyst,Zulitech Solution,Work from home,Job,https://internshala.com/job/detail/fresher-remote-junior-business-analyst-job-at-zulitech-solution1772197934,https://internshala.com/job/detail/fresher-remote-junior-business-analyst-job-at-zulitech-solution1772197934,Internshala - Job,4,,3 weeks ago,2026-03-21,12:43:43,hourly,24h,2026-03-21 12:53,,
Junior Data Analyst,DataVinci Private Limited,Work from home,Job,https://internshala.com/job/detail/fresher-remote-junior-data-analyst-job-at-datavinci-private-limited1772696243,https://internshala.com/job/detail/fresher-remote-junior-data-analyst-job-at-datavinci-private-limited1772696243,Internshala - Job,4,,2 weeks ago,2026-03-21,12:43:43,hourly,24h,2026-03-21 12:53,,
Business Analyst,ViralChilly,Jaipur,Internship,https://internshala.com/internship/detail/business-analyst-internship-in-jaipur-at-viralchilly1774071602,https://internshala.com/internship/detail/business-analyst-internship-in-jaipur-at-viralchilly1774071602,Internshala - Internship,3,,just now,2026-03-21,12:43:43,hourly,24h,2026-03-21 12:53,,
Business Analyst,Evolko,Lucknow,Internship,https://internshala.com/internship/detail/business-analyst-internship-in-lucknow-at-evolko1773127414,https://internshala.com/internship/detail/business-analyst-internship-in-lucknow-at-evolko1773127414,Internshala - Internship,3,,1 week ago,2026-03-21,12:43:43,hourly,24h,2026-03-21 12:53,,
Business Analyst,Brain Quest,Work from home,Internship,https://internshala.com/internship/detail/work-from-home-business-analyst-internship-at-brain-quest1773304101,https://internshala.com/internship/detail/work-from-home-business-analyst-internship-at-brain-quest1773304101,Internshala - Internship,3,,1 week ago,2026-03-21,12:43:43,hourly,24h,2026-03-21 12:53,,
Business Analyst Assistant,Ozibook Tech Solutions Private Limited,Work from home,Internship,https://internshala.com/internship/detail/work-from-home-part-time-business-analyst-assistant-internship-at-ozibook-tech-solutions-private-limited1772007360,https://internshala.com/internship/detail/work-from-home-part-time-business-analyst-assistant-internship-at-ozibook-tech-solutions-private-limited1772007360,Internshala - Internship,3,,3 weeks ago,2026-03-21,12:43:43,hourly,24h,2026-03-21 12:53,,
Data Analyst,JP IT STAFFING LLC,Work from home,Internship,https://internshala.com/internship/detail/work-from-home-part-time-data-analyst-internship-at-jp-it-staffing-llc1771304302,https://internshala.com/internship/detail/work-from-home-part-time-data-analyst-internship-at-jp-it-staffing-llc1771304302,Internshala - Internship,3,,3 weeks ago,2026-03-21,12:43:43,hourly,24h,2026-03-21 12:53,,
Data Analyst,Zorvyn,Work from home,Internship,https://internshala.com/internship/detail/work-from-home-data-analyst-internship-at-zorvyn1771821504,https://internshala.com/internship/detail/work-from-home-data-analyst-internship-at-zorvyn1771821504,Internshala - Internship,3,,3 weeks ago,2026-03-21,12:43:43,hourly,24h,2026-03-21 12:53,,
Data Analyst,Awakn,Work from home,Internship,https://internshala.com/internship/detail/work-from-home-data-analyst-internship-at-awakn1773659036,https://internshala.com/internship/detail/work-from-home-data-analyst-internship-at-awakn1773659036,Internshala - Internship,3,,4 days ago,2026-03-21,12:43:43,hourly,24h,2026-03-21 12:53,,
Football Data Analysts,Ball2Data,Work from home,Internship,https://internshala.com/internship/detail/work-from-home-football-data-analysts-internship-at-ball2data1773723088,https://internshala.com/internship/detail/work-from-home-football-data-analysts-internship-at-ball2data1773723088,Internshala - Internship,3,,4 days ago,2026-03-21,12:43:43,hourly,24h,2026-03-21 12:53,,
Techno Functional Operations/Data Analyst,Alchelyst India Pvt Ltd,Bangalore,Internship,https://internshala.com/internship/detail/techno-functional-operations-data-analyst-internship-in-bangalore-at-alchelyst-india-pvt-ltd1773892952,https://internshala.com/internship/detail/techno-functional-operations-data-analyst-internship-in-bangalore-at-alchelyst-india-pvt-ltd1773892952,Internshala - Internship,3,,2 days ago,2026-03-21,12:43:43,hourly,24h,2026-03-21 12:53,,
Business Analyst,Innovfix Private Limited,Bangalore (Hybrid),Job,https://internshala.com/job/detail/fresher-business-analyst-job-in-bangalore-at-innovfix-private-limited1772776422,https://internshala.com/job/detail/fresher-business-analyst-job-in-bangalore-at-innovfix-private-limited1772776422,Internshala - Job,3,,2 weeks ago,2026-03-21,12:43:43,hourly,24h,2026-03-21 12:53,,
