source_label,status,collected,kept,kept_after_dedup,dedup_dropped,passed_filters,filtered_noise,filtered_role,filtered_role_family,filtered_location,filtered_fresher,filtered_stale,error
LinkedIn,ok,451,46,113,338,368,0,22,0,61,0,0,
Internshala,ok,1431,1091,1431,0,1129,124,65,0,113,0,0,
JobFound,ok,33,0,33,0,0,12,0,0,21,0,0,
Talentd,ok,3,2,3,0,3,0,0,0,0,0,0,
Unstop,ok,1,0,1,0,0,1,0,0,0,0,0,
CareerPage,empty,0,0,0,0,0,0,0,0,0,0,0,
Naukri,empty,0,0,0,0,0,0,0,0,0,0,0,
Foundit,empty,0,0,0,0,0,0,0,0,0,0,0,
Wellfound,empty,0,0,0,0,0,0,0,0,0,0,0,
Telegram,empty,0,0,0,0,0,0,0,0,0,0,0,
