title,company,location,location_type,job_type,source,score,url,link,posted_at,posted_text,scraped_on,scraped_time,run_profile,job_window,scraped_at,status,notes
Data Analyst Intern,Zenithbyte,India,onsite,Job,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-at-zenithbyte-4388278299?position=6&pageNum=0&refId=03Wzn0aUGCWznGECKYcr5A%3D%3D&trackingId=QeiDyOrg80c%2BBQVjWsv3Sg%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-zenithbyte-4388278299?position=6&pageNum=0&refId=03Wzn0aUGCWznGECKYcr5A%3D%3D&trackingId=QeiDyOrg80c%2BBQVjWsv3Sg%3D%3D,2026-03-21,11 minutes ago,2026-03-21,13:25:28,hourly,24h,2026-03-21 13:41,,
Data Analyst Intern,Webs X UM,India,onsite,Job,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-x-um-4388713258?position=8&pageNum=0&refId=03Wzn0aUGCWznGECKYcr5A%3D%3D&trackingId=tTpbdqgqK3iXHzV6IUSKcQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-x-um-4388713258?position=8&pageNum=0&refId=03Wzn0aUGCWznGECKYcr5A%3D%3D&trackingId=tTpbdqgqK3iXHzV6IUSKcQ%3D%3D,2026-03-21,7 minutes ago,2026-03-21,13:25:28,hourly,24h,2026-03-21 13:41,,
Junior Data Analyst,Stier Solutions Inc,Work from home,remote,Job,Internshala - Job,4,https://internshala.com/job/detail/fresher-remote-junior-data-analyst-job-at-stier-solutions-inc1774003269,https://internshala.com/job/detail/fresher-remote-junior-data-analyst-job-at-stier-solutions-inc1774003269,,today,2026-03-21,13:29:10,hourly,24h,2026-03-21 13:41,,
Business Analyst,ViralChilly,Jaipur,onsite,Internship,Internshala - Internship,3,https://internshala.com/internship/detail/business-analyst-internship-in-jaipur-at-viralchilly1774071602,https://internshala.com/internship/detail/business-analyst-internship-in-jaipur-at-viralchilly1774071602,,just now,2026-03-21,13:29:10,hourly,24h,2026-03-21 13:41,,
Junior Product Intern,Swakriti Lifestyle,Thiruvananthapuram,onsite,Internship,Internshala - Internship,3,https://internshala.com/internship/detail/junior-product-intern-internship-in-thiruvananthapuram-at-swakriti-lifestyle1774000445,https://internshala.com/internship/detail/junior-product-intern-internship-in-thiruvananthapuram-at-swakriti-lifestyle1774000445,,today,2026-03-21,13:29:10,hourly,24h,2026-03-21 13:41,,
Stores Assistant (Junior Level Only) Food Manufacturing,Convenio Foods International Private Limited,Work from home,remote,Job,Internshala - Job,3,https://internshala.com/job/detail/remote-stores-assistant-junior-level-only-food-manufacturing-job-at-convenio-foods-international-private-limited1773999248,https://internshala.com/job/detail/remote-stores-assistant-junior-level-only-food-manufacturing-job-at-convenio-foods-international-private-limited1773999248,,today,2026-03-21,13:29:10,hourly,24h,2026-03-21 13:41,,
Data Analyst Trainee,MTEPulse,India,onsite,Job,LinkedIn,3,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-mtepulse-4388260861?position=4&pageNum=0&refId=03Wzn0aUGCWznGECKYcr5A%3D%3D&trackingId=tyD9ON3CoaijUqewhHmrig%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-mtepulse-4388260861?position=4&pageNum=0&refId=03Wzn0aUGCWznGECKYcr5A%3D%3D&trackingId=tyD9ON3CoaijUqewhHmrig%3D%3D,2026-03-21,45 minutes ago,2026-03-21,13:25:28,hourly,24h,2026-03-21 13:41,,
Data Analyst Trainee,InsightAI,India,onsite,Job,LinkedIn,3,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-insightai-4388285032?position=10&pageNum=0&refId=03Wzn0aUGCWznGECKYcr5A%3D%3D&trackingId=UekpZF2TKJp8EIptDUv3xA%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-insightai-4388285032?position=10&pageNum=0&refId=03Wzn0aUGCWznGECKYcr5A%3D%3D&trackingId=UekpZF2TKJp8EIptDUv3xA%3D%3D,2026-03-21,10 minutes ago,2026-03-21,13:25:28,hourly,24h,2026-03-21 13:41,,
Data Scientist Intern,Artha Group,Work from home,remote,Internship,Internshala - Internship,2,https://internshala.com/internship/detail/work-from-home-data-scientist-intern-internship-at-artha-group1774001827,https://internshala.com/internship/detail/work-from-home-data-scientist-intern-internship-at-artha-group1774001827,,today,2026-03-21,13:29:10,hourly,24h,2026-03-21 13:41,,
Founder's Office Intern Technology & Product Developement,Hireginie,Work from home,remote,Internship,Internshala - Internship,2,https://internshala.com/internship/detail/work-from-home-founders-office-intern-technology-product-developement-internship-at-hireginie1773397326,https://internshala.com/internship/detail/work-from-home-founders-office-intern-technology-product-developement-internship-at-hireginie1773397326,,today,2026-03-21,13:29:10,hourly,24h,2026-03-21 13:41,,
