title,company,location,location_type,job_type,source,score,url,link,posted_at,posted_text,scraped_on,scraped_time,run_profile,job_window,scraped_at,status,notes
Data Analyst Intern,Webs IT Solution,India,onsite,Job,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-it-solution-4388708438?position=3&pageNum=0&refId=ikPRsHpx9%2FfnAKiFrdKPjA%3D%3D&trackingId=u%2F6ZSkbzxiaOUBOnEs%2FPxw%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-it-solution-4388708438?position=3&pageNum=0&refId=ikPRsHpx9%2FfnAKiFrdKPjA%3D%3D&trackingId=u%2F6ZSkbzxiaOUBOnEs%2FPxw%3D%3D,2026-03-21,1 hour ago,2026-03-21,14:35:10,hourly,24h,2026-03-21 14:47,,
Data Analyst Intern,Zenithbyte,India,onsite,Job,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-at-zenithbyte-4388285162?position=7&pageNum=0&refId=ikPRsHpx9%2FfnAKiFrdKPjA%3D%3D&trackingId=BBtVm%2BzL6m1pRzX6SvQJ9w%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-zenithbyte-4388285162?position=7&pageNum=0&refId=ikPRsHpx9%2FfnAKiFrdKPjA%3D%3D&trackingId=BBtVm%2BzL6m1pRzX6SvQJ9w%3D%3D,2026-03-21,24 minutes ago,2026-03-21,14:35:10,hourly,24h,2026-03-21 14:47,,
Data Analyst Intern,Webs X UM,India,onsite,Job,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-x-um-4388717287?position=9&pageNum=0&refId=ikPRsHpx9%2FfnAKiFrdKPjA%3D%3D&trackingId=IqrDI97vzJhWPbEbmQmv1g%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-x-um-4388717287?position=9&pageNum=0&refId=ikPRsHpx9%2FfnAKiFrdKPjA%3D%3D&trackingId=IqrDI97vzJhWPbEbmQmv1g%3D%3D,2026-03-21,19 minutes ago,2026-03-21,14:35:10,hourly,24h,2026-03-21 14:47,,
Business Analyst,ViralChilly,Jaipur,onsite,Internship,Internshala - Internship,3,https://internshala.com/internship/detail/business-analyst-internship-in-jaipur-at-viralchilly1774071602,https://internshala.com/internship/detail/business-analyst-internship-in-jaipur-at-viralchilly1774071602,,,2026-03-21,14:37:06,hourly,24h,2026-03-21 14:47,,
Data Scientist Intern,Artha Group,Work from home,remote,Internship,Internshala - Internship,2,https://internshala.com/internship/detail/work-from-home-data-scientist-intern-internship-at-artha-group1774001827,https://internshala.com/internship/detail/work-from-home-data-scientist-intern-internship-at-artha-group1774001827,,today,2026-03-21,14:37:06,hourly,24h,2026-03-21 14:47,,
Operations,Saltec International,Kolkata,onsite,Internship,Internshala - Internship,2,https://internshala.com/internship/detail/part-time-operations-internship-in-kolkata-at-saltec-international1773395363,https://internshala.com/internship/detail/part-time-operations-internship-in-kolkata-at-saltec-international1773395363,,today,2026-03-21,14:37:06,hourly,24h,2026-03-21 14:47,,
AI Intern (AI Automation & Agentic Systems),Versalence AI,"Bengaluru, Karnataka, India",onsite,Job,LinkedIn,2,https://in.linkedin.com/jobs/view/ai-intern-ai-automation-agentic-systems-at-versalence-ai-4388273574?position=49&pageNum=0&refId=D%2Fhim8rR8s1dHk91cyvWRw%3D%3D&trackingId=kvlTbyj14RCfD17fCaabGQ%3D%3D,https://in.linkedin.com/jobs/view/ai-intern-ai-automation-agentic-systems-at-versalence-ai-4388273574?position=49&pageNum=0&refId=D%2Fhim8rR8s1dHk91cyvWRw%3D%3D&trackingId=kvlTbyj14RCfD17fCaabGQ%3D%3D,2026-03-21,1 hour ago,2026-03-21,14:35:10,hourly,24h,2026-03-21 14:47,,
Data Science Intern,InternsElite,"Dehradun, Uttarakhand, India",onsite,Job,LinkedIn,2,https://in.linkedin.com/jobs/view/data-science-intern-at-internselite-4388283177?position=16&pageNum=0&refId=ikPRsHpx9%2FfnAKiFrdKPjA%3D%3D&trackingId=VG56QjTm6ZHg%2BcZ1gkg64w%3D%3D,https://in.linkedin.com/jobs/view/data-science-intern-at-internselite-4388283177?position=16&pageNum=0&refId=ikPRsHpx9%2FfnAKiFrdKPjA%3D%3D&trackingId=VG56QjTm6ZHg%2BcZ1gkg64w%3D%3D,2026-03-21,27 minutes ago,2026-03-21,14:35:10,hourly,24h,2026-03-21 14:47,,
Data Science Intern,WEBBOOST SOLUTION IT SERVICES,India,onsite,Job,LinkedIn,2,https://in.linkedin.com/jobs/view/data-science-intern-at-webboost-solution-it-services-4388705606?position=40&pageNum=0&refId=D%2Fhim8rR8s1dHk91cyvWRw%3D%3D&trackingId=LwaKqL6xNuYc4quP0AAKXw%3D%3D,https://in.linkedin.com/jobs/view/data-science-intern-at-webboost-solution-it-services-4388705606?position=40&pageNum=0&refId=D%2Fhim8rR8s1dHk91cyvWRw%3D%3D&trackingId=LwaKqL6xNuYc4quP0AAKXw%3D%3D,2026-03-21,1 hour ago,2026-03-21,14:35:10,hourly,24h,2026-03-21 14:47,,
Data Science Intern,Dexter's Tech,India,onsite,Job,LinkedIn,2,https://in.linkedin.com/jobs/view/data-science-intern-at-dexter-s-tech-4388286119?position=17&pageNum=0&refId=ikPRsHpx9%2FfnAKiFrdKPjA%3D%3D&trackingId=2mNk7wx2psV9M3xQox4%2FVQ%3D%3D,https://in.linkedin.com/jobs/view/data-science-intern-at-dexter-s-tech-4388286119?position=17&pageNum=0&refId=ikPRsHpx9%2FfnAKiFrdKPjA%3D%3D&trackingId=2mNk7wx2psV9M3xQox4%2FVQ%3D%3D,2026-03-21,26 minutes ago,2026-03-21,14:35:10,hourly,24h,2026-03-21 14:47,,
Prompt Engineering Intern,kaushalsaathi,India,onsite,Job,LinkedIn,2,https://in.linkedin.com/jobs/view/prompt-engineering-intern-at-kaushalsaathi-4386166135?position=43&pageNum=0&refId=ikPRsHpx9%2FfnAKiFrdKPjA%3D%3D&trackingId=gB31yq7huF9XuBDylMqn7Q%3D%3D,https://in.linkedin.com/jobs/view/prompt-engineering-intern-at-kaushalsaathi-4386166135?position=43&pageNum=0&refId=ikPRsHpx9%2FfnAKiFrdKPjA%3D%3D&trackingId=gB31yq7huF9XuBDylMqn7Q%3D%3D,2026-03-21,13 minutes ago,2026-03-21,14:35:10,hourly,24h,2026-03-21 14:47,,
Python Developer Intern,Zenithbyte,India,onsite,Job,LinkedIn,2,https://in.linkedin.com/jobs/view/python-developer-intern-at-zenithbyte-4388281295?position=2&pageNum=2&refId=k2LnLkcajekakmSJATrByA%3D%3D&trackingId=uP8fLqyfMXhOiy2VGvGDjw%3D%3D,https://in.linkedin.com/jobs/view/python-developer-intern-at-zenithbyte-4388281295?position=2&pageNum=2&refId=k2LnLkcajekakmSJATrByA%3D%3D&trackingId=uP8fLqyfMXhOiy2VGvGDjw%3D%3D,2026-03-21,26 minutes ago,2026-03-21,14:35:10,hourly,24h,2026-03-21 14:47,,
