source_label,status,collected,kept,kept_after_dedup,dedup_dropped,passed_filters,filtered_noise,filtered_role,filtered_role_family,filtered_location,filtered_fresher,filtered_stale,error
LinkedIn,ok,2106,171,243,1863,1908,5,155,0,38,0,0,
Internshala,ok,1439,1098,1439,0,1132,125,67,0,115,0,0,
JobFound,ok,33,0,32,1,0,13,0,0,20,0,0,
Talentd,ok,3,2,3,0,3,0,0,0,0,0,0,
Unstop,ok,1,1,1,0,1,0,0,0,0,0,0,
CareerPage,failed,0,0,0,0,0,0,0,0,0,0,0,
Naukri,failed,0,0,0,0,0,0,0,0,0,0,0,
Foundit,failed,0,0,0,0,0,0,0,0,0,0,0,
Wellfound,failed,0,0,0,0,0,0,0,0,0,0,0,
