title,company,location,location_type,job_type,source,score,url,link,posted_at,posted_text,scraped_on,scraped_time,run_profile,job_window,scraped_at,status,notes
"Data Analyst Intern (Excel, SQL, Power BI)",SkillFied Mentor,India,onsite,Job,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-skillfied-mentor-4388596910?position=3&pageNum=2&refId=tqLXVxKsl0sljuoIRnzMxg%3D%3D&trackingId=tLlXMcozWKAqwOIoh8gnbw%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-skillfied-mentor-4388596910?position=3&pageNum=2&refId=tqLXVxKsl0sljuoIRnzMxg%3D%3D&trackingId=tLlXMcozWKAqwOIoh8gnbw%3D%3D,2026-03-21,3 hours ago,2026-03-21,12:41:46,hourly,24h,2026-03-21 12:53,,
Business Analyst,ViralChilly,Jaipur,onsite,Internship,Internshala - Internship,3,https://internshala.com/internship/detail/business-analyst-internship-in-jaipur-at-viralchilly1774071602,https://internshala.com/internship/detail/business-analyst-internship-in-jaipur-at-viralchilly1774071602,,just now,2026-03-21,12:43:43,hourly,24h,2026-03-21 12:53,,
Data Scientist Intern,Artha Group,Work from home,remote,Internship,Internshala - Internship,2,https://internshala.com/internship/detail/work-from-home-data-scientist-intern-internship-at-artha-group1774001827,https://internshala.com/internship/detail/work-from-home-data-scientist-intern-internship-at-artha-group1774001827,,today,2026-03-21,12:43:43,hourly,24h,2026-03-21 12:53,,
Operations,Saltec International,Kolkata,onsite,Internship,Internshala - Internship,2,https://internshala.com/internship/detail/part-time-operations-internship-in-kolkata-at-saltec-international1773395363,https://internshala.com/internship/detail/part-time-operations-internship-in-kolkata-at-saltec-international1773395363,,today,2026-03-21,12:43:43,hourly,24h,2026-03-21 12:53,,
DATA SCIENCE INTRENSHIP FOR STUDENTS (Training + internship),SKILL VEDANTH,India,onsite,Job,LinkedIn,2,https://in.linkedin.com/jobs/view/data-science-intrenship-for-students-training-%2B-internship-at-skill-vedanth-4386152246?position=7&pageNum=0&refId=hdBCV%2FCekHJKCeRp6vhmpg%3D%3D&trackingId=GffPTQkBxxXpqi%2Fzbo1XeQ%3D%3D,https://in.linkedin.com/jobs/view/data-science-intrenship-for-students-training-%2B-internship-at-skill-vedanth-4386152246?position=7&pageNum=0&refId=hdBCV%2FCekHJKCeRp6vhmpg%3D%3D&trackingId=GffPTQkBxxXpqi%2Fzbo1XeQ%3D%3D,2026-03-21,13 minutes ago,2026-03-21,12:41:46,hourly,24h,2026-03-21 12:53,,
Data Analytics Intern,kaushalsaathi,India,onsite,Job,LinkedIn,2,https://in.linkedin.com/jobs/view/data-analytics-intern-at-kaushalsaathi-4386146648?position=8&pageNum=2&refId=Ycjfk0aGLvsIIy%2FzJ6BKFg%3D%3D&trackingId=UTzw1b3y5Rv4IwfpTun5ug%3D%3D,https://in.linkedin.com/jobs/view/data-analytics-intern-at-kaushalsaathi-4386146648?position=8&pageNum=2&refId=Ycjfk0aGLvsIIy%2FzJ6BKFg%3D%3D&trackingId=UTzw1b3y5Rv4IwfpTun5ug%3D%3D,2026-03-21,18 minutes ago,2026-03-21,12:41:46,hourly,24h,2026-03-21 12:53,,
Engineer Intern,Techvolt Software Coimbatore,"Coimbatore, Tamil Nadu, India",onsite,Job,LinkedIn,2,https://in.linkedin.com/jobs/view/engineer-intern-at-techvolt-software-coimbatore-4388277027?position=18&pageNum=0&refId=hdBCV%2FCekHJKCeRp6vhmpg%3D%3D&trackingId=PEMPf5gCP%2FEDs2lgWjeZeQ%3D%3D,https://in.linkedin.com/jobs/view/engineer-intern-at-techvolt-software-coimbatore-4388277027?position=18&pageNum=0&refId=hdBCV%2FCekHJKCeRp6vhmpg%3D%3D&trackingId=PEMPf5gCP%2FEDs2lgWjeZeQ%3D%3D,2026-03-21,24 minutes ago,2026-03-21,12:41:46,hourly,24h,2026-03-21 12:53,,
Flutter Internship,khwaaish,India,onsite,Job,LinkedIn,2,https://in.linkedin.com/jobs/view/flutter-internship-at-khwaaish-4386144788?position=27&pageNum=0&refId=hdBCV%2FCekHJKCeRp6vhmpg%3D%3D&trackingId=13KHxRl%2BfxD%2BTf4ulkTJbA%3D%3D,https://in.linkedin.com/jobs/view/flutter-internship-at-khwaaish-4386144788?position=27&pageNum=0&refId=hdBCV%2FCekHJKCeRp6vhmpg%3D%3D&trackingId=13KHxRl%2BfxD%2BTf4ulkTJbA%3D%3D,2026-03-21,3 minutes ago,2026-03-21,12:41:46,hourly,24h,2026-03-21 12:53,,
Unpaid Flutter internship,Starkin Solutions,"Hyderabad, Telangana, India",onsite,Job,LinkedIn,2,https://in.linkedin.com/jobs/view/unpaid-flutter-internship-at-starkin-solutions-4388252974?position=25&pageNum=0&refId=hdBCV%2FCekHJKCeRp6vhmpg%3D%3D&trackingId=i3SK0c42Y%2F2ueaWI4%2BeZkw%3D%3D,https://in.linkedin.com/jobs/view/unpaid-flutter-internship-at-starkin-solutions-4388252974?position=25&pageNum=0&refId=hdBCV%2FCekHJKCeRp6vhmpg%3D%3D&trackingId=i3SK0c42Y%2F2ueaWI4%2BeZkw%3D%3D,2026-03-21,47 minutes ago,2026-03-21,12:41:46,hourly,24h,2026-03-21 12:53,,
