title,company,location,location_type,job_type,source,score,url,link,posted_at,posted_text,scraped_on,scraped_time,run_profile,job_window,scraped_at,status,notes
Data Analyst Intern,Zenithbyte,India,onsite,Job,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-at-zenithbyte-4388285162?position=8&pageNum=0&refId=OneIbiTx5foEsqtxMnGinw%3D%3D&trackingId=779IVSCyghT6Q7PaJIgUXg%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-zenithbyte-4388285162?position=8&pageNum=0&refId=OneIbiTx5foEsqtxMnGinw%3D%3D&trackingId=779IVSCyghT6Q7PaJIgUXg%3D%3D,2026-03-21,1 hour ago,2026-03-21,15:18:30,hourly,24h,2026-03-21 15:38,,
Data Analyst Intern,Webs X UM,India,onsite,Job,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-x-um-4388717287?position=13&pageNum=0&refId=OneIbiTx5foEsqtxMnGinw%3D%3D&trackingId=qIseW747RBnwXeFNRaKt4w%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-x-um-4388717287?position=13&pageNum=0&refId=OneIbiTx5foEsqtxMnGinw%3D%3D&trackingId=qIseW747RBnwXeFNRaKt4w%3D%3D,2026-03-21,1 hour ago,2026-03-21,15:18:30,hourly,24h,2026-03-21 15:38,,
Data Analyst Intern,Webs IT Solution,India,onsite,Job,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-it-solution-4388708438?position=14&pageNum=0&refId=OneIbiTx5foEsqtxMnGinw%3D%3D&trackingId=LuFjjtaNlFUMJKYXAwAJ6A%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-it-solution-4388708438?position=14&pageNum=0&refId=OneIbiTx5foEsqtxMnGinw%3D%3D&trackingId=LuFjjtaNlFUMJKYXAwAJ6A%3D%3D,2026-03-21,1 hour ago,2026-03-21,15:18:30,hourly,24h,2026-03-21 15:38,,
Data Analyst Internship,Axentrixx Technologies,"Pune City, Maharashtra, India",onsite,Job,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-internship-at-axentrixx-technologies-4388287155?position=21&pageNum=0&refId=OneIbiTx5foEsqtxMnGinw%3D%3D&trackingId=1nmx127hZAK8HlMwa%2FAy%2Fg%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-internship-at-axentrixx-technologies-4388287155?position=21&pageNum=0&refId=OneIbiTx5foEsqtxMnGinw%3D%3D&trackingId=1nmx127hZAK8HlMwa%2FAy%2Fg%3D%3D,2026-03-21,9 minutes ago,2026-03-21,15:18:30,hourly,24h,2026-03-21 15:38,,
Business Analyst,ViralChilly,Jaipur,onsite,Internship,Internshala - Internship,3,https://internshala.com/internship/detail/business-analyst-internship-in-jaipur-at-viralchilly1774071602,https://internshala.com/internship/detail/business-analyst-internship-in-jaipur-at-viralchilly1774071602,,,2026-03-21,15:20:25,hourly,24h,2026-03-21 15:38,,
Data Analyst Trainee,MTEPulse,India,onsite,Job,LinkedIn,3,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-mtepulse-4388288158?position=27&pageNum=0&refId=OneIbiTx5foEsqtxMnGinw%3D%3D&trackingId=9KWSiDYDVlDgeYJh7Ho2rg%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-mtepulse-4388288158?position=27&pageNum=0&refId=OneIbiTx5foEsqtxMnGinw%3D%3D&trackingId=9KWSiDYDVlDgeYJh7Ho2rg%3D%3D,2026-03-21,12 minutes ago,2026-03-21,15:18:30,hourly,24h,2026-03-21 15:38,,
Data Scientist Intern,Artha Group,Work from home,remote,Internship,Internshala - Internship,2,https://internshala.com/internship/detail/work-from-home-data-scientist-intern-internship-at-artha-group1774001827,https://internshala.com/internship/detail/work-from-home-data-scientist-intern-internship-at-artha-group1774001827,,today,2026-03-21,15:20:25,hourly,24h,2026-03-21 15:38,,
Operations,Saltec International,Kolkata,onsite,Internship,Internshala - Internship,2,https://internshala.com/internship/detail/part-time-operations-internship-in-kolkata-at-saltec-international1773395363,https://internshala.com/internship/detail/part-time-operations-internship-in-kolkata-at-saltec-international1773395363,,today,2026-03-21,15:20:25,hourly,24h,2026-03-21 15:38,,
Data Science Intern,Dexter's Tech,India,onsite,Job,LinkedIn,2,https://in.linkedin.com/jobs/view/data-science-intern-at-dexter-s-tech-4388286119?position=30&pageNum=0&refId=OneIbiTx5foEsqtxMnGinw%3D%3D&trackingId=EvRlI8K5P%2FliU17Iby4Idw%3D%3D,https://in.linkedin.com/jobs/view/data-science-intern-at-dexter-s-tech-4388286119?position=30&pageNum=0&refId=OneIbiTx5foEsqtxMnGinw%3D%3D&trackingId=EvRlI8K5P%2FliU17Iby4Idw%3D%3D,2026-03-21,1 hour ago,2026-03-21,15:18:30,hourly,24h,2026-03-21 15:38,,
