source_label,status,collected,kept,kept_after_dedup,dedup_dropped,passed_filters,filtered_noise,filtered_role,filtered_role_family,filtered_location,filtered_fresher,filtered_stale,error
LinkedIn,ok,558,84,124,434,438,0,112,0,8,0,0,
Internshala,ok,1439,1098,1439,0,1135,125,66,0,113,0,0,
JobFound,ok,33,0,32,1,0,13,0,0,20,0,0,
Talentd,ok,3,2,3,0,3,0,0,0,0,0,0,
Unstop,empty,0,0,0,0,0,0,0,0,0,0,0,
CareerPage,empty,0,0,0,0,0,0,0,0,0,0,0,
Naukri,empty,0,0,0,0,0,0,0,0,0,0,0,
Foundit,empty,0,0,0,0,0,0,0,0,0,0,0,
Wellfound,empty,0,0,0,0,0,0,0,0,0,0,0,
Telegram,failed,0,0,0,0,0,0,0,0,0,0,0,Connection to Telegram failed 5 time(s)
