source_label,status,collected,kept,kept_after_dedup,dedup_dropped,passed_filters,filtered_noise,filtered_role,filtered_role_family,filtered_location,filtered_fresher,filtered_stale,error
LinkedIn,ok,554,108,139,415,503,2,40,0,9,0,0,
Internshala,ok,2638,2048,2638,0,2107,125,187,0,219,0,0,
JobFound,ok,33,0,32,1,0,13,0,0,20,0,0,
Talentd,ok,3,2,3,0,3,0,0,0,0,0,0,
Unstop,empty,0,0,0,0,0,0,0,0,0,0,0,
CareerPage,empty,0,0,0,0,0,0,0,0,0,0,0,
Naukri,failed,0,0,0,0,0,0,0,0,0,0,0,timeout_360s
Foundit,empty,0,0,0,0,0,0,0,0,0,0,0,
Wellfound,empty,0,0,0,0,0,0,0,0,0,0,0,
Telegram,empty,0,0,0,0,0,0,0,0,0,0,0,
