title,company,location,location_type,job_type,source,score,url,link,posted_at,posted_text,scraped_on,scraped_time,run_profile,job_window,scraped_at,status,notes
Data Analyst Intern,Webs X UM,India,onsite,Job,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-x-um-4388709395?position=12&pageNum=0&refId=qlBx%2FoWIksibK6hovVRCYQ%3D%3D&trackingId=q5H9g8MBadxX4NT4mjn67Q%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-x-um-4388709395?position=12&pageNum=0&refId=qlBx%2FoWIksibK6hovVRCYQ%3D%3D&trackingId=q5H9g8MBadxX4NT4mjn67Q%3D%3D,2026-03-21,44 minutes ago,2026-03-21,14:13:08,hourly,24h,2026-03-21 14:25,,
Data Analyst Intern,Webs IT Solution,India,onsite,Job,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-it-solution-4388708438?position=4&pageNum=0&refId=qlBx%2FoWIksibK6hovVRCYQ%3D%3D&trackingId=5ZFCl0kR9Lr6Cg4pCVd6RA%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-it-solution-4388708438?position=4&pageNum=0&refId=qlBx%2FoWIksibK6hovVRCYQ%3D%3D&trackingId=5ZFCl0kR9Lr6Cg4pCVd6RA%3D%3D,2026-03-21,39 minutes ago,2026-03-21,14:13:08,hourly,24h,2026-03-21 14:25,,
Business Analyst,ViralChilly,Jaipur,onsite,Internship,Internshala - Internship,3,https://internshala.com/internship/detail/business-analyst-internship-in-jaipur-at-viralchilly1774071602,https://internshala.com/internship/detail/business-analyst-internship-in-jaipur-at-viralchilly1774071602,,,2026-03-21,14:15:03,hourly,24h,2026-03-21 14:25,,
Data Analyst Trainee,MTEHealthIQ,India,onsite,Job,LinkedIn,3,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-mtehealthiq-4386162229?position=17&pageNum=0&refId=qlBx%2FoWIksibK6hovVRCYQ%3D%3D&trackingId=ZO4WnTnc%2BwIUN7u%2FLU1SMA%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-mtehealthiq-4386162229?position=17&pageNum=0&refId=qlBx%2FoWIksibK6hovVRCYQ%3D%3D&trackingId=ZO4WnTnc%2BwIUN7u%2FLU1SMA%3D%3D,2026-03-21,41 minutes ago,2026-03-21,14:13:08,hourly,24h,2026-03-21 14:25,,
Data Scientist Intern,Artha Group,Work from home,remote,Internship,Internshala - Internship,2,https://internshala.com/internship/detail/work-from-home-data-scientist-intern-internship-at-artha-group1774001827,https://internshala.com/internship/detail/work-from-home-data-scientist-intern-internship-at-artha-group1774001827,,today,2026-03-21,14:15:03,hourly,24h,2026-03-21 14:25,,
Operations,Saltec International,Kolkata,onsite,Internship,Internshala - Internship,2,https://internshala.com/internship/detail/part-time-operations-internship-in-kolkata-at-saltec-international1773395363,https://internshala.com/internship/detail/part-time-operations-internship-in-kolkata-at-saltec-international1773395363,,today,2026-03-21,14:15:03,hourly,24h,2026-03-21 14:25,,
AI Intern (AI Automation & Agentic Systems),Versalence AI,"Bengaluru, Karnataka, India",onsite,Job,LinkedIn,2,https://in.linkedin.com/jobs/view/ai-intern-ai-automation-agentic-systems-at-versalence-ai-4388273574?position=47&pageNum=0&refId=qlBx%2FoWIksibK6hovVRCYQ%3D%3D&trackingId=7%2BfheOHisAanDGmeMI07Hg%3D%3D,https://in.linkedin.com/jobs/view/ai-intern-ai-automation-agentic-systems-at-versalence-ai-4388273574?position=47&pageNum=0&refId=qlBx%2FoWIksibK6hovVRCYQ%3D%3D&trackingId=7%2BfheOHisAanDGmeMI07Hg%3D%3D,2026-03-21,44 minutes ago,2026-03-21,14:13:08,hourly,24h,2026-03-21 14:25,,
Data Science Intern,InternsElite,"Dehradun, Uttarakhand, India",onsite,Job,LinkedIn,2,https://in.linkedin.com/jobs/view/data-science-intern-at-internselite-4388283177?position=40&pageNum=0&refId=qlBx%2FoWIksibK6hovVRCYQ%3D%3D&trackingId=hK3d%2Bsugc6E3du7uujiGWw%3D%3D,https://in.linkedin.com/jobs/view/data-science-intern-at-internselite-4388283177?position=40&pageNum=0&refId=qlBx%2FoWIksibK6hovVRCYQ%3D%3D&trackingId=hK3d%2Bsugc6E3du7uujiGWw%3D%3D,2026-03-21,5 minutes ago,2026-03-21,14:13:08,hourly,24h,2026-03-21 14:25,,
Data Science Intern,Dexter's Tech,India,onsite,Job,LinkedIn,2,https://in.linkedin.com/jobs/view/data-science-intern-at-dexter-s-tech-4388286119?position=39&pageNum=0&refId=qlBx%2FoWIksibK6hovVRCYQ%3D%3D&trackingId=cMveQadh6UgEa%2FZzyzyrHw%3D%3D,https://in.linkedin.com/jobs/view/data-science-intern-at-dexter-s-tech-4388286119?position=39&pageNum=0&refId=qlBx%2FoWIksibK6hovVRCYQ%3D%3D&trackingId=cMveQadh6UgEa%2FZzyzyrHw%3D%3D,2026-03-21,4 minutes ago,2026-03-21,14:13:08,hourly,24h,2026-03-21 14:25,,
Data Science Intern,WEBBOOST SOLUTION IT SERVICES,India,onsite,Job,LinkedIn,2,https://in.linkedin.com/jobs/view/data-science-intern-at-webboost-solution-it-services-4388705606?position=33&pageNum=0&refId=qlBx%2FoWIksibK6hovVRCYQ%3D%3D&trackingId=AWk31Vu4yn34nU2ywS3MMQ%3D%3D,https://in.linkedin.com/jobs/view/data-science-intern-at-webboost-solution-it-services-4388705606?position=33&pageNum=0&refId=qlBx%2FoWIksibK6hovVRCYQ%3D%3D&trackingId=AWk31Vu4yn34nU2ywS3MMQ%3D%3D,2026-03-21,51 minutes ago,2026-03-21,14:13:08,hourly,24h,2026-03-21 14:25,,
