title,company,location,job_type,url,link,source,score,posted_at,posted_text,scraped_on,scraped_time,run_profile,job_window,scraped_at,status,notes
Business Analyst with Private Credit,People Prime Worldwide,"Pune District, Maharashtra, India",Job,https://in.linkedin.com/jobs/view/business-analyst-with-private-credit-at-people-prime-worldwide-4388909234?position=59&pageNum=0&refId=Nf0%2BfQXSH9Txs%2B1GfVO9Ew%3D%3D&trackingId=XupVBjZIAQYDF9BDVFt8ag%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-with-private-credit-at-people-prime-worldwide-4388909234?position=59&pageNum=0&refId=Nf0%2BfQXSH9Txs%2B1GfVO9Ew%3D%3D&trackingId=XupVBjZIAQYDF9BDVFt8ag%3D%3D,LinkedIn,3,2026-03-23,6 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Business Analyst | Remote,Crossing Hurdles,India,Job,https://in.linkedin.com/jobs/view/business-analyst-remote-at-crossing-hurdles-4378477683?position=2&pageNum=0&refId=L5FJR26Cb9KA%2FzP4JX%2FbKA%3D%3D&trackingId=ckNGvVgRjWf0uBLFZ5Xgbw%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-remote-at-crossing-hurdles-4378477683?position=2&pageNum=0&refId=L5FJR26Cb9KA%2FzP4JX%2FbKA%3D%3D&trackingId=ckNGvVgRjWf0uBLFZ5Xgbw%3D%3D,LinkedIn,3,2026-03-23,5 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
"Business Analyst – Digital Transformation (Retail Banking)- Location: Pune, Bangalore, Hyderabad",DigiHelic Solutions Pvt. Ltd.,India,Job,https://in.linkedin.com/jobs/view/business-analyst-%E2%80%93-digital-transformation-retail-banking-location-pune-bangalore-hyderabad-at-digihelic-solutions-pvt-ltd-4386652601?position=59&pageNum=0&refId=L5FJR26Cb9KA%2FzP4JX%2FbKA%3D%3D&trackingId=S6ogjm0s6ZqjLLDGo8G7NQ%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-%E2%80%93-digital-transformation-retail-banking-location-pune-bangalore-hyderabad-at-digihelic-solutions-pvt-ltd-4386652601?position=59&pageNum=0&refId=L5FJR26Cb9KA%2FzP4JX%2FbKA%3D%3D&trackingId=S6ogjm0s6ZqjLLDGo8G7NQ%3D%3D,LinkedIn,3,2026-03-23,10 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Business Consulting Analyst-SCM-Data Analyst,NTT DATA North America,"Bengaluru, Karnataka, India",Job,https://in.linkedin.com/jobs/view/business-consulting-analyst-scm-data-analyst-at-ntt-data-north-america-4389055615?position=57&pageNum=0&refId=eUY4hTqYp7QHOksr9aVXBg%3D%3D&trackingId=c72tfZHQy1vkY4cqVEPzaQ%3D%3D,https://in.linkedin.com/jobs/view/business-consulting-analyst-scm-data-analyst-at-ntt-data-north-america-4389055615?position=57&pageNum=0&refId=eUY4hTqYp7QHOksr9aVXBg%3D%3D&trackingId=c72tfZHQy1vkY4cqVEPzaQ%3D%3D,LinkedIn,3,2026-03-23,8 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Business Data Analyst,Licious,"Bengaluru, Karnataka, India",Job,https://in.linkedin.com/jobs/view/business-data-analyst-at-licious-4388943788?position=1&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=6KbWvBEi33TbvF8cDhSi%2FQ%3D%3D,https://in.linkedin.com/jobs/view/business-data-analyst-at-licious-4388943788?position=1&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=6KbWvBEi33TbvF8cDhSi%2FQ%3D%3D,LinkedIn,3,2026-03-23,2 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Business Data Analyst,Insight Global,India,Job,https://in.linkedin.com/jobs/view/business-data-analyst-at-insight-global-4388961074?position=18&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=ATxjStAxpzEXAa3IglsnRg%3D%3D,https://in.linkedin.com/jobs/view/business-data-analyst-at-insight-global-4388961074?position=18&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=ATxjStAxpzEXAa3IglsnRg%3D%3D,LinkedIn,3,2026-03-23,2 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Business Data Analyst,Oshodata,"Noida, Uttar Pradesh, India",Job,https://in.linkedin.com/jobs/view/business-data-analyst-at-oshodata-4388909347?position=47&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=5XTfqZIBRHFQDm9ZR9zJDw%3D%3D,https://in.linkedin.com/jobs/view/business-data-analyst-at-oshodata-4388909347?position=47&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=5XTfqZIBRHFQDm9ZR9zJDw%3D%3D,LinkedIn,3,2026-03-23,5 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Clinical Business Analyst - Healthcare,Talentgigs,"Chennai, Tamil Nadu, India",Job,https://in.linkedin.com/jobs/view/clinical-business-analyst-healthcare-at-talentgigs-4388677334?position=39&pageNum=0&refId=Nf0%2BfQXSH9Txs%2B1GfVO9Ew%3D%3D&trackingId=Yqx5s9eGn8YdaN4LMBi8dA%3D%3D,https://in.linkedin.com/jobs/view/clinical-business-analyst-healthcare-at-talentgigs-4388677334?position=39&pageNum=0&refId=Nf0%2BfQXSH9Txs%2B1GfVO9Ew%3D%3D&trackingId=Yqx5s9eGn8YdaN4LMBi8dA%3D%3D,LinkedIn,3,2026-03-23,12 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
DATA ANALYST L3,Wipro,"Chennai, Tamil Nadu, India",Job,https://in.linkedin.com/jobs/view/data-analyst-l3-at-wipro-4389093976?position=15&pageNum=0&refId=ENEg5q6OoUEf62pa6vsItg%3D%3D&trackingId=BTzfuWm5pwa9RWDd7lD7Ow%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-l3-at-wipro-4389093976?position=15&pageNum=0&refId=ENEg5q6OoUEf62pa6vsItg%3D%3D&trackingId=BTzfuWm5pwa9RWDd7lD7Ow%3D%3D,LinkedIn,3,2026-03-23,1 hour ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
DATA ANALYST L4,Wipro,"Hyderabad, Telangana, India",Job,https://in.linkedin.com/jobs/view/data-analyst-l4-at-wipro-4388697422?position=6&pageNum=2&refId=gg16U1a2dfPse3wltQoXsw%3D%3D&trackingId=dZnOV03koPc0P9WQGc83WA%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-l4-at-wipro-4388697422?position=6&pageNum=2&refId=gg16U1a2dfPse3wltQoXsw%3D%3D&trackingId=dZnOV03koPc0P9WQGc83WA%3D%3D,LinkedIn,3,2026-03-23,8 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
