title,company,location,location_type,job_type,source,score,url,link,posted_at,posted_text,scraped_on,scraped_time,run_profile,job_window,scraped_at,status,notes
Junior Data Analyst Intern,Skillzenloop,India,onsite,Job,LinkedIn,6,https://in.linkedin.com/jobs/view/junior-data-analyst-intern-at-skillzenloop-4386672274?position=53&pageNum=0&refId=xyQKZAPE5hYi0ecQoJTkJg%3D%3D&trackingId=NXA%2BPi2Ix7TjrIYmSAMU6g%3D%3D,https://in.linkedin.com/jobs/view/junior-data-analyst-intern-at-skillzenloop-4386672274?position=53&pageNum=0&refId=xyQKZAPE5hYi0ecQoJTkJg%3D%3D&trackingId=NXA%2BPi2Ix7TjrIYmSAMU6g%3D%3D,2026-03-23,5 hours ago,2026-03-23,21:03:48,hourly,24h,2026-03-23 21:15,,
Data Analyst Intern,Zenithbyte,India,onsite,Job,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-at-zenithbyte-4388949502?position=5&pageNum=0&refId=ktDD9Hi8gsnyGyagK33RrA%3D%3D&trackingId=OtUmWsKN%2BJzgbI4y44SiBA%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-zenithbyte-4388949502?position=5&pageNum=0&refId=ktDD9Hi8gsnyGyagK33RrA%3D%3D&trackingId=OtUmWsKN%2BJzgbI4y44SiBA%3D%3D,2026-03-23,1 hour ago,2026-03-23,21:03:48,hourly,24h,2026-03-23 21:15,,
"Data Analyst Intern (Excel, SQL, Power BI)",ArGo Intern,India,onsite,Job,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-argo-intern-4388699511?position=44&pageNum=0&refId=xyQKZAPE5hYi0ecQoJTkJg%3D%3D&trackingId=vLESUtrUPG0SGQ8jEwCORg%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-argo-intern-4388699511?position=44&pageNum=0&refId=xyQKZAPE5hYi0ecQoJTkJg%3D%3D&trackingId=vLESUtrUPG0SGQ8jEwCORg%3D%3D,2026-03-23,6 hours ago,2026-03-23,21:03:48,hourly,24h,2026-03-23 21:15,,
"Data Analyst Intern (Excel, SQL, Power BI)",Wake Up Whistle,India,onsite,Job,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-wake-up-whistle-4388698527?position=38&pageNum=0&refId=xyQKZAPE5hYi0ecQoJTkJg%3D%3D&trackingId=AYAKanYD3%2FGDmvwdFMqSRQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-wake-up-whistle-4388698527?position=38&pageNum=0&refId=xyQKZAPE5hYi0ecQoJTkJg%3D%3D&trackingId=AYAKanYD3%2FGDmvwdFMqSRQ%3D%3D,2026-03-23,6 hours ago,2026-03-23,21:03:48,hourly,24h,2026-03-23 21:15,,
"Business Analyst Internship Fx31Labs Private Limited No prior experience required Full Time In Office | Ahmedabad Artificial Intelligence (AI) Communication Skills Requirement Gathering +1 Business Analysis Engineering Students Postgraduate +4 10 K/Month Posted Mar 23, 2026 13 days left",Business Analyst Internship,India,onsite,Internship,Unstop,5,https://unstop.com/internships/business-analyst-internship-fx31labs-private-limited-1664136,https://unstop.com/internships/business-analyst-internship-fx31labs-private-limited-1664136,,,2026-03-23,21:06:41,hourly,24h,2026-03-23 21:15,,
"Data Analyst Internship Anand Consturction No prior experience required Full Time Work from Home Spreadsheet Software (Excel, Google Sheets) Tableau Data Analysis (Excel) +2 Data Analysis Engineering Students Postgraduate +3 10 K - 15 K/Month Posted Mar 23, 2026 9 days left",Data Analyst Internship,Work from Home,remote,Internship,Unstop,5,https://unstop.com/internships/data-analyst-internship-anand-consturction-1664048,https://unstop.com/internships/data-analyst-internship-anand-consturction-1664048,,,2026-03-23,21:06:41,hourly,24h,2026-03-23 21:15,,
"Data Analyst Internship Wikasta Business and Technical Solutions Pvt. Ltd. No prior experience required Part Time Work from Home Data Collection Data Organization Spreadsheet Software (Excel, Google Sheets) +8 Data Analysis Engineering Students Postgraduate +1 7.5 K - 14.75 K/Month Posted Mar 23, 2026 14 days left",Data Analyst Internship,Work from Home,remote,Internship,Unstop,5,https://unstop.com/internships/data-analyst-internship-unstop-tech-fair-2025-wikasta-business-and-technical-solutions-pvt-ltd-1664070,https://unstop.com/internships/data-analyst-internship-unstop-tech-fair-2025-wikasta-business-and-technical-solutions-pvt-ltd-1664070,,,2026-03-23,21:06:41,hourly,24h,2026-03-23 21:15,,
Junior Business Analyst,EvolutionCo Group | CX • Design • Marketing • Tech • Innovation,"Mumbai, Maharashtra, India",onsite,Job,LinkedIn,4,https://in.linkedin.com/jobs/view/junior-business-analyst-at-evolutionco-group-cx-%E2%80%A2-design-%E2%80%A2-marketing-%E2%80%A2-tech-%E2%80%A2-innovation-4386676377?position=39&pageNum=0&refId=LUHn7cJmQbX6tyD9fONl3A%3D%3D&trackingId=cvROeOBG2db2w1bMnV5XOw%3D%3D,https://in.linkedin.com/jobs/view/junior-business-analyst-at-evolutionco-group-cx-%E2%80%A2-design-%E2%80%A2-marketing-%E2%80%A2-tech-%E2%80%A2-innovation-4386676377?position=39&pageNum=0&refId=LUHn7cJmQbX6tyD9fONl3A%3D%3D&trackingId=cvROeOBG2db2w1bMnV5XOw%3D%3D,2026-03-23,5 hours ago,2026-03-23,21:03:48,hourly,24h,2026-03-23 21:15,,
Business Analyst Data Modelling-Associate - Kolkata Y-14 - Technology Consulting,PwC India,"Kolkata, West Bengal, India",onsite,Job,LinkedIn,3,https://in.linkedin.com/jobs/view/business-analyst-data-modelling-associate-kolkata-y-14-technology-consulting-at-pwc-india-4346329312?position=47&pageNum=0&refId=ILHB1f%2BKqxm9%2Ftj%2BxO%2Buww%3D%3D&trackingId=iwtIYXTBUTJfhOzyBV4B2g%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-data-modelling-associate-kolkata-y-14-technology-consulting-at-pwc-india-4346329312?position=47&pageNum=0&refId=ILHB1f%2BKqxm9%2Ftj%2BxO%2Buww%3D%3D&trackingId=iwtIYXTBUTJfhOzyBV4B2g%3D%3D,2026-03-23,2 hours ago,2026-03-23,21:03:48,hourly,24h,2026-03-23 21:15,,
Business Analyst Trainee,MedTourEasy Hyderabad,India,onsite,Job,LinkedIn,3,https://in.linkedin.com/jobs/view/business-analyst-trainee-at-medtoureasy-hyderabad-4388699712?position=35&pageNum=0&refId=028jrWgt4wPVceWg1FMLbA%3D%3D&trackingId=lfZZzobbgO2LkQihB6LFrw%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-trainee-at-medtoureasy-hyderabad-4388699712?position=35&pageNum=0&refId=028jrWgt4wPVceWg1FMLbA%3D%3D&trackingId=lfZZzobbgO2LkQihB6LFrw%3D%3D,2026-03-23,5 hours ago,2026-03-23,21:03:48,hourly,24h,2026-03-23 21:15,,
