source_label,status,collected,kept,kept_after_dedup,dedup_dropped,passed_filters,filtered_noise,filtered_role,filtered_role_family,filtered_location,filtered_fresher,filtered_stale,error
LinkedIn,ok,2210,268,459,1751,1608,3,513,0,86,0,0,
Internshala,ok,1420,1077,1420,0,1114,113,70,0,123,0,0,
JobFound,ok,34,0,33,1,0,15,0,0,19,0,0,
Talentd,ok,3,3,3,0,3,0,0,0,0,0,0,
Unstop,ok,4,4,4,0,4,0,0,0,0,0,0,
CareerPage,failed,0,0,0,0,0,0,0,0,0,0,0,
Naukri,failed,0,0,0,0,0,0,0,0,0,0,0,
Foundit,failed,0,0,0,0,0,0,0,0,0,0,0,
Wellfound,failed,0,0,0,0,0,0,0,0,0,0,0,
Telegram,failed,0,0,0,0,0,0,0,0,0,0,0,
