title,company,location,job_type,url,link,source,score,posted_at,posted_text,scraped_on,scraped_time,run_profile,job_window,scraped_at,status,notes
Business Analytics,OMNIDYA TECH LLP,Ahmedabad,Internship,https://internshala.com/internship/detail/business-analytics-internship-in-ahmedabad-at-omnidya-tech-llp1772203557,https://internshala.com/internship/detail/business-analytics-internship-in-ahmedabad-at-omnidya-tech-llp1772203557,Internshala - Internship,0,,3 weeks ago,2026-03-23,23:09:40,hourly,24h,2026-03-23 23:19,,
Business Analytics,Fx31 Labs,Ahmedabad,Internship,https://internshala.com/internship/detail/business-analytics-internship-in-ahmedabad-at-fx31-labs1774270769,https://internshala.com/internship/detail/business-analytics-internship-in-ahmedabad-at-fx31-labs1774270769,Internshala - Internship,0,,just now,2026-03-23,23:09:40,hourly,24h,2026-03-23 23:19,,
Data Analytics,Tech Analogy,Ahmedabad,Internship,https://internshala.com/internship/detail/data-analytics-internship-in-ahmedabad-at-tech-analogy1773398427,https://internshala.com/internship/detail/data-analytics-internship-in-ahmedabad-at-tech-analogy1773398427,Internshala - Internship,0,,1 week ago,2026-03-23,23:09:40,hourly,24h,2026-03-23 23:19,,
Data Analytics,Cognitive Pixel,Ahmedabad,Internship,https://internshala.com/internship/detail/data-analytics-internship-in-ahmedabad-at-cognitive-pixel1771555690,https://internshala.com/internship/detail/data-analytics-internship-in-ahmedabad-at-cognitive-pixel1771555690,Internshala - Internship,0,,3 weeks ago,2026-03-23,23:09:40,hourly,24h,2026-03-23 23:19,,
Data Anlayst,Maxgen Technologies Private Limited,Ahmedabad,Internship,https://internshala.com/internship/detail/data-anlayst-internship-in-ahmedabad-at-maxgen-technologies-private-limited1772027503,https://internshala.com/internship/detail/data-anlayst-internship-in-ahmedabad-at-maxgen-technologies-private-limited1772027503,Internshala - Internship,0,,3 weeks ago,2026-03-23,23:09:40,hourly,24h,2026-03-23 23:19,,
Data Scientist,Maxgen Technologies Private Limited,Ahmedabad,Internship,https://internshala.com/internship/detail/data-scientist-internship-in-ahmedabad-at-maxgen-technologies-private-limited1771777975,https://internshala.com/internship/detail/data-scientist-internship-in-ahmedabad-at-maxgen-technologies-private-limited1771777975,Internshala - Internship,0,,3 weeks ago,2026-03-23,23:09:40,hourly,24h,2026-03-23 23:19,,
Electrical/Mechanical Engineer,Auto Forest,Ahmedabad,Internship,https://internshala.com/internship/detail/electrical-mechanical-engineer-internship-in-ahmedabad-at-auto-forest1772519543,https://internshala.com/internship/detail/electrical-mechanical-engineer-internship-in-ahmedabad-at-auto-forest1772519543,Internshala - Internship,0,,2 weeks ago,2026-03-23,23:09:40,hourly,24h,2026-03-23 23:19,,
Equity Analyst,Next Step Advisors LLP,Ahmedabad,Internship,https://internshala.com/internship/detail/equity-analyst-internship-in-ahmedabad-at-next-step-advisors-llp1773310857,https://internshala.com/internship/detail/equity-analyst-internship-in-ahmedabad-at-next-step-advisors-llp1773310857,Internshala - Internship,0,,1 week ago,2026-03-23,23:09:40,hourly,24h,2026-03-23 23:19,,
Export Executive,Eco Export,Ahmedabad,Internship,https://internshala.com/internship/detail/export-executive-internship-in-ahmedabad-at-eco-export1772107086,https://internshala.com/internship/detail/export-executive-internship-in-ahmedabad-at-eco-export1772107086,Internshala - Internship,0,,3 weeks ago,2026-03-23,23:09:40,hourly,24h,2026-03-23 23:19,,
Geographic Information System (GIS),Shark Cybertech LLP,Ahmedabad,Internship,https://internshala.com/internship/detail/geographic-information-system-40gis-41-internship-in-ahmedabad-at-shark-cybertech-llp1773937627,https://internshala.com/internship/detail/geographic-information-system-40gis-41-internship-in-ahmedabad-at-shark-cybertech-llp1773937627,Internshala - Internship,0,,4 days ago,2026-03-23,23:09:40,hourly,24h,2026-03-23 23:19,,
Inventory & Business Operations,The House Of Vraj:bhoomi,Ahmedabad,Internship,https://internshala.com/internship/detail/inventory-business-operations-internship-in-ahmedabad-at-the-house-of-vrajbhoomi1772887558,https://internshala.com/internship/detail/inventory-business-operations-internship-in-ahmedabad-at-the-house-of-vrajbhoomi1772887558,Internshala - Internship,0,,2 weeks ago,2026-03-23,23:09:40,hourly,24h,2026-03-23 23:19,,
Operations,Xora Coworking Space (Unit Of Jiny Ventures),Ahmedabad,Internship,https://internshala.com/internship/detail/operations-internship-in-ahmedabad-at-xora-coworking-space-unit-of-jiny-ventures1774284517,https://internshala.com/internship/detail/operations-internship-in-ahmedabad-at-xora-coworking-space-unit-of-jiny-ventures1774284517,Internshala - Internship,0,,just now,2026-03-23,23:09:40,hourly,24h,2026-03-23 23:19,,
Operations,Bummer,Ahmedabad,Internship,https://internshala.com/internship/detail/operations-internship-in-ahmedabad-at-bummer1773750684,https://internshala.com/internship/detail/operations-internship-in-ahmedabad-at-bummer1773750684,Internshala - Internship,0,,6 days ago,2026-03-23,23:09:40,hourly,24h,2026-03-23 23:19,,
Operations,Techify Solutions Pvt Ltd.,Ahmedabad,Internship,https://internshala.com/internship/detail/operations-internship-in-ahmedabad-at-techify-solutions-pvt-ltd1773726850,https://internshala.com/internship/detail/operations-internship-in-ahmedabad-at-techify-solutions-pvt-ltd1773726850,Internshala - Internship,0,,6 days ago,2026-03-23,23:09:40,hourly,24h,2026-03-23 23:19,,
Operations,JuniGadi,Ahmedabad,Internship,https://internshala.com/internship/detail/operations-internship-in-ahmedabad-at-junigadi1770443428,https://internshala.com/internship/detail/operations-internship-in-ahmedabad-at-junigadi1770443428,Internshala - Internship,0,,3 weeks ago,2026-03-23,23:09:40,hourly,24h,2026-03-23 23:19,,
QA Automation,PRIMEQA SOLUTIONS PRIVATE LIMITED,Ahmedabad,Internship,https://internshala.com/internship/detail/qa-automation-internship-in-ahmedabad-at-primeqa-solutions1772689729,https://internshala.com/internship/detail/qa-automation-internship-in-ahmedabad-at-primeqa-solutions1772689729,Internshala - Internship,0,,2 weeks ago,2026-03-23,23:09:40,hourly,24h,2026-03-23 23:19,,
QA Testing,Meru Technosoft Private Limited,Ahmedabad,Internship,https://internshala.com/internship/detail/qa-testing-internship-in-ahmedabad-at-meru-technosoft-private-limited1773137490,https://internshala.com/internship/detail/qa-testing-internship-in-ahmedabad-at-meru-technosoft-private-limited1773137490,Internshala - Internship,0,,1 week ago,2026-03-23,23:09:40,hourly,24h,2026-03-23 23:19,,
Sales/Business Development,AgileVerify,Ahmedabad,Internship,https://internshala.com/internship/detail/sales-business-development-internship-in-ahmedabad-at-agileverify1773818063,https://internshala.com/internship/detail/sales-business-development-internship-in-ahmedabad-at-agileverify1773818063,Internshala - Internship,0,,5 days ago,2026-03-23,23:09:40,hourly,24h,2026-03-23 23:19,,
Software Development,EshiaBIM,Ahmedabad,Internship,https://internshala.com/internship/detail/game-development-internship-in-ahmedabad-at-eshiabim1772714434,https://internshala.com/internship/detail/game-development-internship-in-ahmedabad-at-eshiabim1772714434,Internshala - Internship,0,,2 weeks ago,2026-03-23,23:09:40,hourly,24h,2026-03-23 23:19,,
Digital Marketing,Saltriver Infosystems Private Limited,Ahmedabad (Hybrid),Internship,https://internshala.com/internship/detail/part-time-digital-marketing-internship-in-ahmedabad-at-saltriver-infosystems-private-limited1772675861,https://internshala.com/internship/detail/part-time-digital-marketing-internship-in-ahmedabad-at-saltriver-infosystems-private-limited1772675861,Internshala - Internship,0,,2 weeks ago,2026-03-23,23:09:40,hourly,24h,2026-03-23 23:19,,
Campus Ambassador,M.S. Education Consultant,"Ahmedabad, Gandhinagar, Mehsana, Nadiad, Surat, Anand, Navsari",Internship,https://internshala.com/internship/detail/campus-ambassador-programme-at-ms-education-consultant1774243771,https://internshala.com/internship/detail/campus-ambassador-programme-at-ms-education-consultant1774243771,Internshala - Internship,0,,today,2026-03-23,23:09:40,hourly,24h,2026-03-23 23:19,,
Business Development Executive - EdTech,Alive Mind,"Ahmedabad, Nadiad, Surat, Anand, Vadodara, Bharuch (Hybrid)",Internship,https://internshala.com/internship/detail/business-development-executive-edtech-internship-in-multiple-locations-at-alive-mind1772113506,https://internshala.com/internship/detail/business-development-executive-edtech-internship-in-multiple-locations-at-alive-mind1772113506,Internshala - Internship,0,,3 weeks ago,2026-03-23,23:09:40,hourly,24h,2026-03-23 23:19,,
