title,company,location,location_type,job_type,source,score,url,link,posted_at,posted_text,scraped_on,scraped_time,run_profile,job_window,scraped_at,status,notes
Junior Data Analyst Intern,Skillzenloop,India,onsite,Job,LinkedIn,6,https://in.linkedin.com/jobs/view/junior-data-analyst-intern-at-skillzenloop-4386672274?position=53&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=0uxm5ShngMi5fZfMhLvykw%3D%3D,https://in.linkedin.com/jobs/view/junior-data-analyst-intern-at-skillzenloop-4386672274?position=53&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=0uxm5ShngMi5fZfMhLvykw%3D%3D,2026-03-23,7 hours ago,2026-03-23,23:07:40,hourly,24h,2026-03-23 23:19,,
Data Analyst Intern,Inficore Soft,India,onsite,Job,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-at-inficore-soft-4388674802?position=1&pageNum=5&refId=i4OSJCEE7d0k7Q8L0v22Gg%3D%3D&trackingId=c4PqYlKsGA23L3cjO5ZPkg%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-inficore-soft-4388674802?position=1&pageNum=5&refId=i4OSJCEE7d0k7Q8L0v22Gg%3D%3D&trackingId=c4PqYlKsGA23L3cjO5ZPkg%3D%3D,2026-03-23,12 hours ago,2026-03-23,23:07:40,hourly,24h,2026-03-23 23:19,,
"Data Analyst Intern (Excel, SQL, Power BI)",Wake Up Whistle,India,onsite,Job,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-wake-up-whistle-4388691818?position=47&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=4Fq%2Fu9a8yfj%2FvhDXBuLE3Q%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-wake-up-whistle-4388691818?position=47&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=4Fq%2Fu9a8yfj%2FvhDXBuLE3Q%3D%3D,2026-03-23,8 hours ago,2026-03-23,23:07:40,hourly,24h,2026-03-23 23:19,,
"Data Analyst Intern (Excel, SQL, Power BI)",ArGo Intern,India,onsite,Job,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-argo-intern-4388699511?position=46&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=YcVTU0qjxqGL2qZec%2FevKQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-argo-intern-4388699511?position=46&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=YcVTU0qjxqGL2qZec%2FevKQ%3D%3D,2026-03-23,8 hours ago,2026-03-23,23:07:40,hourly,24h,2026-03-23 23:19,,
"Business Analyst Internship Fx31Labs Private Limited No prior experience required Full Time In Office | Ahmedabad Artificial Intelligence (AI) Communication Skills Requirement Gathering +1 Business Analysis Engineering Students Postgraduate +4 10 K/Month Posted Mar 23, 2026 13 days left",Business Analyst Internship,India,onsite,Internship,Unstop,5,https://unstop.com/internships/business-analyst-internship-fx31labs-private-limited-1664136,https://unstop.com/internships/business-analyst-internship-fx31labs-private-limited-1664136,,,2026-03-23,23:10:40,hourly,24h,2026-03-23 23:19,,
"Data Analyst Internship Anand Consturction No prior experience required Full Time Work from Home Spreadsheet Software (Excel, Google Sheets) Tableau Data Analysis (Excel) +2 Data Analysis Engineering Students Postgraduate +3 10 K - 15 K/Month Posted Mar 23, 2026 9 days left",Data Analyst Internship,Work from Home,remote,Internship,Unstop,5,https://unstop.com/internships/data-analyst-internship-anand-consturction-1664048,https://unstop.com/internships/data-analyst-internship-anand-consturction-1664048,,,2026-03-23,23:10:40,hourly,24h,2026-03-23 23:19,,
"Data Analyst Internship Wikasta Business and Technical Solutions Pvt. Ltd. No prior experience required Part Time Work from Home Data Collection Data Organization Spreadsheet Software (Excel, Google Sheets) +8 Data Analysis Engineering Students Postgraduate +1 7.5 K - 14.75 K/Month Posted Mar 23, 2026 14 days left",Data Analyst Internship,Work from Home,remote,Internship,Unstop,5,https://unstop.com/internships/data-analyst-internship-unstop-tech-fair-2025-wikasta-business-and-technical-solutions-pvt-ltd-1664070,https://unstop.com/internships/data-analyst-internship-unstop-tech-fair-2025-wikasta-business-and-technical-solutions-pvt-ltd-1664070,,,2026-03-23,23:10:40,hourly,24h,2026-03-23 23:19,,
Commercial Junior Business Analyst,Inizio Ignite,"Gurugram, Haryana, India",onsite,Job,LinkedIn,4,https://in.linkedin.com/jobs/view/commercial-junior-business-analyst-at-inizio-ignite-4389213890?position=19&pageNum=0&refId=TgzdNFK47%2BAlPHk5ZRGDkA%3D%3D&trackingId=BUfg%2BP43DuFo6hkIifHg1w%3D%3D,https://in.linkedin.com/jobs/view/commercial-junior-business-analyst-at-inizio-ignite-4389213890?position=19&pageNum=0&refId=TgzdNFK47%2BAlPHk5ZRGDkA%3D%3D&trackingId=BUfg%2BP43DuFo6hkIifHg1w%3D%3D,2026-03-23,38 minutes ago,2026-03-23,23:07:40,hourly,24h,2026-03-23 23:19,,
Junior Business Analyst,EvolutionCo Group | CX • Design • Marketing • Tech • Innovation,"Mumbai, Maharashtra, India",onsite,Job,LinkedIn,4,https://in.linkedin.com/jobs/view/junior-business-analyst-at-evolutionco-group-cx-%E2%80%A2-design-%E2%80%A2-marketing-%E2%80%A2-tech-%E2%80%A2-innovation-4386676377?position=40&pageNum=0&refId=zGPca3dK8ZZ7hqRhaRak3g%3D%3D&trackingId=%2F%2BLFTj38Hmgf0shi%2BtLkZQ%3D%3D,https://in.linkedin.com/jobs/view/junior-business-analyst-at-evolutionco-group-cx-%E2%80%A2-design-%E2%80%A2-marketing-%E2%80%A2-tech-%E2%80%A2-innovation-4386676377?position=40&pageNum=0&refId=zGPca3dK8ZZ7hqRhaRak3g%3D%3D&trackingId=%2F%2BLFTj38Hmgf0shi%2BtLkZQ%3D%3D,2026-03-23,7 hours ago,2026-03-23,23:07:40,hourly,24h,2026-03-23 23:19,,
Business Analyst Data Modelling-Associate - Kolkata Y-14 - Technology Consulting,PwC India,"Kolkata, West Bengal, India",onsite,Job,LinkedIn,3,https://in.linkedin.com/jobs/view/business-analyst-data-modelling-associate-kolkata-y-14-technology-consulting-at-pwc-india-4346329312?position=47&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=CVupSoyD3ZMz6VA8JfA1Ew%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-data-modelling-associate-kolkata-y-14-technology-consulting-at-pwc-india-4346329312?position=47&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=CVupSoyD3ZMz6VA8JfA1Ew%3D%3D,2026-03-23,4 hours ago,2026-03-23,23:07:40,hourly,24h,2026-03-23 23:19,,
