title,company,location,job_type,source,priority_score,url
Data Analyst,Scoutit,"New Delhi, Delhi, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-at-scoutit-4388908198?position=17&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=CpKecAm7RXTbdi0DbGIHlA%3D%3D
Data Analyst,Scoutit,"Noida, Uttar Pradesh, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-at-scoutit-4388900605?position=18&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=3kTDh18%2BA2A%2FoAr23cB7FA%3D%3D
Data Analyst,Snapmint,"Mumbai, Maharashtra, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-at-snapmint-4389066718?position=39&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=TdPBD%2B2%2FUTdleXsZZ41JwQ%3D%3D
Data Analyst,Tata Consultancy Services,Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-data-analyst-job-at-tata-consultancy-services1774003992
Data Analyst,Tata Consultancy Services,"Chennai, Tamil Nadu, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-at-tata-consultancy-services-4388914769?position=29&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=Z3Ou3wrk8eCLdPcFSgeFDA%3D%3D
Data Analyst,Zetheta Algorithms Private Limited,Work from home,Internship,Internshala - Internship,0.0,https://internshala.com/internship/detail/work-from-home-data-analyst-internship-at-zetheta-algorithms-private-limited1774087746
Data Analyst,Zetheta Algorithms Private Limited,India,Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-at-zetheta-algorithms-private-limited-4388670640?position=48&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=1Hv%2BMJbrkotSk3wp0GcGAw%3D%3D
Data Analyst,Zorvyn,Work from home,Internship,Internshala - Internship,0.0,https://internshala.com/internship/detail/work-from-home-data-analyst-internship-at-zorvyn1771821504
Data Analyst (Bengali Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-bengali-speaker-job-at-peroptyx1774023771
Data Analyst (English Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-english-speaker-job-at-peroptyx1774022555
Data Analyst (Gujarati Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-gujarati-speaker-job-at-peroptyx1774024430
Data Analyst (Kannada Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-kannada-speaker-job-at-peroptyx1774023424
Data Analyst (Malayalam Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-malayalam-speaker-job-at-peroptyx1773399470
Data Analyst (Marathi Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-marathi-speaker-job-at-peroptyx1774023194
"Data Analyst (Marketing Analytics, Bangkok Based, Relocation provided)",Agoda,Greater Kolkata Area,Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-marketing-analytics-bangkok-based-relocation-provided-at-agoda-4299778190?position=51&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=GcrvFBKKrrQzIyq%2FwpXlVw%3D%3D
"Data Analyst (Marketing Analytics, Bangkok Based, Relocation provided)",Agoda,"Pune Division, Maharashtra, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-marketing-analytics-bangkok-based-relocation-provided-at-agoda-4299767576?position=2&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=9CJfn0Q%2F1sdRMJpMqE3K3w%3D%3D
Data Analyst (Odia/Oriya Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-odia-oriya-speaker-job-at-peroptyx1774022923
Data Analyst (Punjabi Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-punjabi-speaker-job-at-peroptyx1774024101
Data Analyst (Tamil Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-tamil-speaker-job-at-peroptyx1772801982
Data Analyst (Telugu Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-telugu-speaker-job-at-peroptyx1772802048
Data Analyst (Urdu Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-urdu-speaker-job-at-peroptyx1773399715
Data Analyst - Propulsion [T500-24579],Delta Air Lines,"Bengaluru, Karnataka, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-propulsion-t500-24579-at-delta-air-lines-4389067630?position=15&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=IRYuB0%2BhBvOCGNvmRH4cew%3D%3D
Data Analyst - Sales Operations,Marsh McLennan,Mumbai Metropolitan Region,Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-sales-operations-at-marsh-mclennan-4388680763?position=28&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=ZNjd5vW4c%2FgDuYria%2BFTTg%3D%3D
Data Analyst 2,Zynga,"Bengaluru, Karnataka, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-2-at-zynga-4389200280?position=30&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=gxW%2FyuJydH%2Flfeb6LIuZ9A%3D%3D
Data Analyst Intern,Inficore Soft,India,Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-intern-at-inficore-soft-4388674802?position=1&pageNum=5&refId=i4OSJCEE7d0k7Q8L0v22Gg%3D%3D&trackingId=c4PqYlKsGA23L3cjO5ZPkg%3D%3D
"Data Analyst Intern (Excel, SQL, Power BI)",ArGo Intern,India,Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-argo-intern-4388699511?position=46&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=YcVTU0qjxqGL2qZec%2FevKQ%3D%3D
"Data Analyst Intern (Excel, SQL, Power BI)",Wake Up Whistle,India,Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-wake-up-whistle-4388691818?position=47&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=4Fq%2Fu9a8yfj%2FvhDXBuLE3Q%3D%3D
"Data Analyst Internship Anand Consturction No prior experience required Full Time Work from Home Spreadsheet Software (Excel, Google Sheets) Tableau Data Analysis (Excel) +2 Data Analysis Engineering Students Postgraduate +3 10 K - 15 K/Month Posted Mar 23, 2026 9 days left",Data Analyst Internship,Work from Home,Internship,Unstop,0.0,https://unstop.com/internships/data-analyst-internship-anand-consturction-1664048
"Data Analyst Internship Wikasta Business and Technical Solutions Pvt. Ltd. No prior experience required Part Time Work from Home Data Collection Data Organization Spreadsheet Software (Excel, Google Sheets) +8 Data Analysis Engineering Students Postgraduate +1 7.5 K - 14.75 K/Month Posted Mar 23, 2026 14 days left",Data Analyst Internship,Work from Home,Internship,Unstop,0.0,https://unstop.com/internships/data-analyst-internship-unstop-tech-fair-2025-wikasta-business-and-technical-solutions-pvt-ltd-1664070
Data Analyst Trainee,MTEPulse,India,Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-mtepulse-4388966487?position=11&pageNum=0&refId=TgzdNFK47%2BAlPHk5ZRGDkA%3D%3D&trackingId=HVf99PMl6i51ZSVn%2FNxKaA%3D%3D
Data Analyst: Economics Unit,The Economist,"Gurgaon, Haryana, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/data-analyst-economics-unit-at-the-economist-4389232588?position=5&pageNum=0&refId=TgzdNFK47%2BAlPHk5ZRGDkA%3D%3D&trackingId=VoQ82KBYFaHsLcyjCDUoRw%3D%3D
Decision and Business Analysts,Reliance Retail,"Navi Mumbai, Maharashtra, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/decision-and-business-analysts-at-reliance-retail-4364127905?position=1&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=bW%2BAd%2FUrqZKqHmWzgkfjnw%3D%3D
Exigen Business Analyst,US IT Consulting,"Bengaluru, Karnataka, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/exigen-business-analyst-at-us-it-consulting-4389048927?position=42&pageNum=0&refId=jePW6QK3HCxEZ3A%2BG0woKQ%3D%3D&trackingId=n165pV4L35W8hKgPtezQXg%3D%3D
Financial Reporting Analyst,LTM,"Mumbai, Maharashtra, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/financial-reporting-analyst-at-ltm-4388699666?position=48&pageNum=0&refId=jePW6QK3HCxEZ3A%2BG0woKQ%3D%3D&trackingId=b%2FyQugPPmFZLKZfPvGWsKw%3D%3D
Football Data Analysts,Ball2Data,Work from home,Internship,Internshala - Internship,0.0,https://internshala.com/internship/detail/work-from-home-football-data-analysts-internship-at-ball2data1773723088
Junior Business Analyst,Drona Pay Private Limited,Mumbai,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-junior-business-analyst-job-in-mumbai-at-drona-pay-private-limited1773723555
Junior Business Analyst,EvolutionCo Group | CX • Design • Marketing • Tech • Innovation,"Mumbai, Maharashtra, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/junior-business-analyst-at-evolutionco-group-cx-%E2%80%A2-design-%E2%80%A2-marketing-%E2%80%A2-tech-%E2%80%A2-innovation-4386676377?position=40&pageNum=0&refId=zGPca3dK8ZZ7hqRhaRak3g%3D%3D&trackingId=%2F%2BLFTj38Hmgf0shi%2BtLkZQ%3D%3D
Junior Data Analyst,DataVinci Private Limited,Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-junior-data-analyst-job-at-datavinci-private-limited1772696243
Junior Data Analyst Intern,Skillzenloop,India,Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/junior-data-analyst-intern-at-skillzenloop-4386672274?position=53&pageNum=0&refId=fGI0crARUz43M2xg15as6g%3D%3D&trackingId=0uxm5ShngMi5fZfMhLvykw%3D%3D
Mis Analyst,TRU Realty Private Limited,Mumbai,Job,Internshala - Job,0.0,https://internshala.com/job/detail/mis-analyst-job-in-mumbai-at-tru-realty-private-limited1772697346
Online Data Analyst - Odia,TELUS Digital,Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-part-time-online-data-analyst-odia-job-at-telus-digital1772152273
Operations Analyst,LifeGuru.app,Bangalore,Internship,Internshala - Internship,0.0,https://internshala.com/internship/detail/operations-analyst-internship-in-bangalore-at-lifeguruapp1772700311
Operations Analyst,athenahealth,"Chennai, Tamil Nadu, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/operations-analyst-at-athenahealth-4389210899?position=12&pageNum=0&refId=XwwEBXhXs3LTo8njOGH2Lg%3D%3D&trackingId=WP7UjUcrXp0zpFW1%2B0OO%2FQ%3D%3D
"Operations Analyst II, APAC",Barracuda,"Bangalore Urban, Karnataka, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/operations-analyst-ii-apac-at-barracuda-4379908191?position=24&pageNum=0&refId=w6FcglGevEEQsdMreoKIAA%3D%3D&trackingId=L0xNmp1wJaPUm6HqBPvw5Q%3D%3D
People Experience and Sustainable Culture (PESC) Business Analyst,Deutsche Bank,India,,Talentd,0.0,https://db.wd3.myworkdayjobs.com/DBWebsite/job/Bangalore-Velankani-Tech-Park/Diversity--Equity---Inclusion-Specialist--AVP_R0413036-1
Product Analyst,Moksha Media Group,"Mumbai, Maharashtra, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/product-analyst-at-moksha-media-group-4386674796?position=3&pageNum=2&refId=8Ruqaadk8MsE8UHYxJLEDg%3D%3D&trackingId=Sv%2Bwc8oAd0OKcJ4sCz%2FyUQ%3D%3D
Product Analyst,Zorvyn,Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-product-analyst-job-at-zorvyn1772551531
