job_id,title,company,link,score,status,date_found,date_applied,notes,source
491e35d1de406fef,Data Analyst Intern,Zenithbyte,https://in.linkedin.com/jobs/view/data-analyst-intern-at-zenithbyte-4388285162?position=7&pageNum=0&refId=ikPRsHpx9%2FfnAKiFrdKPjA%3D%3D&trackingId=BBtVm%2BzL6m1pRzX6SvQJ9w%3D%3D,5.0,Pending,2026-03-21 14:47:41,,,LinkedIn
9592a1bbc30ac3d5,Data Analyst Intern,Webs X UM,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-x-um-4388717287?position=9&pageNum=0&refId=ikPRsHpx9%2FfnAKiFrdKPjA%3D%3D&trackingId=IqrDI97vzJhWPbEbmQmv1g%3D%3D,5.0,Pending,2026-03-21 14:47:41,,,LinkedIn
d7b9262597b54a81,AI Intern (AI Automation & Agentic Systems),Versalence AI,https://in.linkedin.com/jobs/view/ai-intern-ai-automation-agentic-systems-at-versalence-ai-4388273574?position=49&pageNum=0&refId=D%2Fhim8rR8s1dHk91cyvWRw%3D%3D&trackingId=kvlTbyj14RCfD17fCaabGQ%3D%3D,2.0,Pending,2026-03-21 14:47:41,,,LinkedIn
bbedcdc8dece728c,Data Science Intern,InternsElite,https://in.linkedin.com/jobs/view/data-science-intern-at-internselite-4388283177?position=16&pageNum=0&refId=ikPRsHpx9%2FfnAKiFrdKPjA%3D%3D&trackingId=VG56QjTm6ZHg%2BcZ1gkg64w%3D%3D,2.0,Pending,2026-03-21 14:47:41,,,LinkedIn
cdc568cdf6fd36a2,Data Science Intern,WEBBOOST SOLUTION IT SERVICES,https://in.linkedin.com/jobs/view/data-science-intern-at-webboost-solution-it-services-4388705606?position=40&pageNum=0&refId=D%2Fhim8rR8s1dHk91cyvWRw%3D%3D&trackingId=LwaKqL6xNuYc4quP0AAKXw%3D%3D,2.0,Pending,2026-03-21 14:47:41,,,LinkedIn
19f461aa753cccac,Data Science Intern,Dexter's Tech,https://in.linkedin.com/jobs/view/data-science-intern-at-dexter-s-tech-4388286119?position=17&pageNum=0&refId=ikPRsHpx9%2FfnAKiFrdKPjA%3D%3D&trackingId=2mNk7wx2psV9M3xQox4%2FVQ%3D%3D,2.0,Pending,2026-03-21 14:47:41,,,LinkedIn
d4e62160ac46f48c,Prompt Engineering Intern,kaushalsaathi,https://in.linkedin.com/jobs/view/prompt-engineering-intern-at-kaushalsaathi-4386166135?position=43&pageNum=0&refId=ikPRsHpx9%2FfnAKiFrdKPjA%3D%3D&trackingId=gB31yq7huF9XuBDylMqn7Q%3D%3D,2.0,Pending,2026-03-21 14:47:41,,,LinkedIn
230fd5887b87304f,Python Developer Intern,Zenithbyte,https://in.linkedin.com/jobs/view/python-developer-intern-at-zenithbyte-4388281295?position=2&pageNum=2&refId=k2LnLkcajekakmSJATrByA%3D%3D&trackingId=uP8fLqyfMXhOiy2VGvGDjw%3D%3D,2.0,Pending,2026-03-21 14:47:41,,,LinkedIn
96159ffb869d3373,Data Analyst Intern,Webs X UM,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-x-um-4388717287?position=7&pageNum=0&refId=10X5tUHOjDudx45x8hgYag%3D%3D&trackingId=%2FqspM8zP5rz5O1yHCBap2w%3D%3D,5.0,Pending,2026-03-21 15:14:58,,,LinkedIn
85278efaffaceff7,Data Analyst Intern,Webs IT Solution,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-it-solution-4388708439?position=8&pageNum=0&refId=10X5tUHOjDudx45x8hgYag%3D%3D&trackingId=NTR1rYjvdBdeoDVk0T5Ujw%3D%3D,5.0,Pending,2026-03-21 15:14:58,,,LinkedIn
