title,job_title,company,location,description,requirements,experience,salary_min,salary_max,salary_text,job_type,link,apply_link,source,platform,posted_date,keywords_matched,ats_score,role,target_level,score,profile_role,experience_match,location_match,role_keyword_hits
Java Full Stack Developer-N,Java Full Stack Developer-N,Infosys,Remote,"Java Fullstack, Java React, Java Angular

Posted: 6 days ago","Java Fullstack, Java React, Java Angular",8-12 yrs,0,0,Not disclosed,Job,https://www.naukri.com/job-listings-Java-Full-Stack-Developer-N-Infosys-Pune-Hyderabad-Mumbai-All-Areas-8-to-12-years-121225037485?src=jobsearchDesk&sid=17754421747335&xp=1&px=1,https://www.naukri.com/job-listings-Java-Full-Stack-Developer-N-Infosys-Pune-Hyderabad-Mumbai-All-Areas-8-to-12-years-121225037485?src=jobsearchDesk&sid=17754421747335&xp=1&px=1,Naukri,Naukri,6 days ago,[],0,go_developer,mid,5.0,go_developer,True,True,1
Java Full Stack Developer - Pune,Java Full Stack Developer - Pune,Infosys,Remote,"Java Fullstack, Java React, Java Angular

Posted: 6 days ago","Java Fullstack, Java React, Java Angular",8-12 yrs,0,0,Not disclosed,Job,https://www.naukri.com/job-listings-Java-Full-Stack-Developer-Pune-Infosys-Pune-Hyderabad-Mumbai-All-Areas-8-to-12-years-051225038001?src=jobsearchDesk&sid=17754421747335&xp=2&px=1,https://www.naukri.com/job-listings-Java-Full-Stack-Developer-Pune-Infosys-Pune-Hyderabad-Mumbai-All-Areas-8-to-12-years-051225038001?src=jobsearchDesk&sid=17754421747335&xp=2&px=1,Naukri,Naukri,6 days ago,[],0,go_developer,mid,5.0,go_developer,True,True,1
Java Full Stack Developer - Pune,Java Full Stack Developer - Pune,Infosys,Remote,"Spring Boot, Java Fullstack, Java React, Java Angular

Posted: 6 days ago","Spring Boot, Java Fullstack, Java React, Java Angular",5-8 yrs,0,0,Not disclosed,Job,https://www.naukri.com/job-listings-Java-Full-Stack-Developer-Pune-Infosys-Pune-Hyderabad-Mumbai-All-Areas-5-to-8-years-051225037950?src=jobsearchDesk&sid=17754421747335&xp=3&px=1,https://www.naukri.com/job-listings-Java-Full-Stack-Developer-Pune-Infosys-Pune-Hyderabad-Mumbai-All-Areas-5-to-8-years-051225037950?src=jobsearchDesk&sid=17754421747335&xp=3&px=1,Naukri,Naukri,6 days ago,[],0,go_developer,mid,5.0,go_developer,True,True,1
Fresher,Fresher,Unifybrains Infotech,Remote,"ios trainee

Posted: 30+ days ago",ios trainee,0-2 yrs,0,0,Not disclosed,Job,https://www.naukri.com/job-listings-Fresher-Unifybrains-Infotech-Chennai-Pune-Delhi-Mumbai-Bengaluru-Hyderabad-Kolkata-0-to-2-years-200520500046?src=jobsearchDesk&sid=17754421747335&xp=4&px=1,https://www.naukri.com/job-listings-Fresher-Unifybrains-Infotech-Chennai-Pune-Delhi-Mumbai-Bengaluru-Hyderabad-Kolkata-0-to-2-years-200520500046?src=jobsearchDesk&sid=17754421747335&xp=4&px=1,Naukri,Naukri,30+ days ago,[],0,go_developer,mid,5.0,go_developer,True,True,1
Vue.Js Developer,Vue.Js Developer,Tata Consultancy Services,Remote,"Vue.Js, Typescript, Javascript, vue3

Posted: 1 day ago","Vue.Js, Typescript, Javascript, vue3",5-8 yrs,0,0,Not disclosed,Job,https://www.naukri.com/job-listings-Vue-Js-Developer-Tata-Consultancy-Services-Delhi-NCR-Mumbai-Hyderabad-5-to-8-years-050426004713?src=jobsearchDesk&sid=17754421747335&xp=5&px=1,https://www.naukri.com/job-listings-Vue-Js-Developer-Tata-Consultancy-Services-Delhi-NCR-Mumbai-Hyderabad-5-to-8-years-050426004713?src=jobsearchDesk&sid=17754421747335&xp=5&px=1,Naukri,Naukri,1 day ago,[],0,go_developer,mid,5.0,go_developer,True,True,1
Pharmacovigilance Interns - B.Pharm / M.Pharm/ Pharm D - Freshers,Pharmacovigilance Interns - B.Pharm / M.Pharm/ Pharm D - Freshers,Clininfotech,Remote,"Pharmaceutics, MedDRA, PV, Pharmacology, Pharmacovigilance, PharmD...

Posted: 4 days ago","Pharmaceutics, MedDRA, PV, Pharmacology, Pharmacovigilance, PharmD...",0-1 yrs,0,0,Not disclosed,Job,https://www.naukri.com/job-listings-Pharmacovigilance-Interns-B-Pharm-M-Pharm-Pharm-D-Freshers-Clininfotech-Pune-Bengaluru-Hyderabad-0-to-1-years-081124008721?src=jobsearchDesk&sid=17754421747335&xp=6&px=1,https://www.naukri.com/job-listings-Pharmacovigilance-Interns-B-Pharm-M-Pharm-Pharm-D-Freshers-Clininfotech-Pune-Bengaluru-Hyderabad-0-to-1-years-081124008721?src=jobsearchDesk&sid=17754421747335&xp=6&px=1,Naukri,Naukri,4 days ago,[],0,go_developer,mid,5.0,go_developer,True,True,1
Full Stack Developer,Full Stack Developer,Capco,Remote,"Computer science, Automation, Front end, Version control, GIT, Unit testing...

Posted: 11 days ago","Computer science, Automation, Front end, Version control, GIT, Unit testing...",8-13 yrs,0,0,Not disclosed,Job,https://www.naukri.com/job-listings-Full-Stack-Developer-Capco-Chennai-Pune-Delhi-Mumbai-Bengaluru-Hyderabad-Kolkata-8-to-13-years-260326500669?src=jobsearchDesk&sid=17754421747335&xp=7&px=1,https://www.naukri.com/job-listings-Full-Stack-Developer-Capco-Chennai-Pune-Delhi-Mumbai-Bengaluru-Hyderabad-Kolkata-8-to-13-years-260326500669?src=jobsearchDesk&sid=17754421747335&xp=7&px=1,Naukri,Naukri,11 days ago,[],0,go_developer,mid,5.0,go_developer,True,True,1
Generative AI (5-10 Years)-Bangalore/Pune,Generative AI (5-10 Years)-Bangalore/Pune,Infosys,Remote,"Generative Ai, Natural Language Processing, Retrieval Augmented Generation,...

Posted: 1 day ago","Generative Ai, Natural Language Processing, Retrieval Augmented Generation,...",5-10 yrs,0,0,Not disclosed,Job,https://www.naukri.com/job-listings-Generative-AI-5-10-Years-Bangalore-Pune-Infosys-Pune-Bengaluru-Hyderabad-5-to-10-years-090126040768?src=jobsearchDesk&sid=17754421747335&xp=8&px=1,https://www.naukri.com/job-listings-Generative-AI-5-10-Years-Bangalore-Pune-Infosys-Pune-Bengaluru-Hyderabad-5-to-10-years-090126040768?src=jobsearchDesk&sid=17754421747335&xp=8&px=1,Naukri,Naukri,1 day ago,[],0,go_developer,mid,5.0,go_developer,True,True,1
