source_label,status,collected,kept,kept_after_dedup,dedup_dropped,passed_filters,filtered_noise,filtered_role,filtered_role_family,filtered_location,filtered_fresher,filtered_stale,error
LinkedIn,ok,2451,176,524,1927,524,8,904,0,231,686,98,
Internshala,ok,2267,144,2267,0,17,119,1280,5,169,333,344,
JobFound,ok,68,0,67,1,5,12,0,0,38,13,0,
Talentd,ok,9,0,9,0,5,0,0,0,0,4,0,
Unstop,ok,6,0,6,0,6,0,0,0,0,0,0,
CareerPage,failed,0,0,0,0,0,0,0,0,0,0,0,
Naukri,failed,0,0,0,0,0,0,0,0,0,0,0,
Foundit,failed,0,0,0,0,0,0,0,0,0,0,0,
Wellfound,failed,0,0,0,0,0,0,0,0,0,0,0,
Telegram,failed,0,0,0,0,0,0,0,0,0,0,0,
