title,company,location,location_type,job_type,source,score,url,link,posted_at,posted_text,scraped_on,scraped_time,run_profile,job_window,scraped_at,status,notes
Finance & Data Analyst Intern,Plootus,Work from home,remote,Internship,Internshala - Internship,5,https://internshala.com/internship/detail/work-from-home-finance-data-analyst-intern-internship-at-plootus1774434968,https://internshala.com/internship/detail/work-from-home-finance-data-analyst-intern-internship-at-plootus1774434968,,,2026-03-25,22:01:12,hourly,24h,2026-03-25 22:18,,
"Data Analyst Intern (Excel, SQL, Power BI)",ArGo Intern,India,onsite,Job,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-argo-intern-4390126423?position=2&pageNum=2&refId=RyF9nGCU8Ona93PV5DIZpg%3D%3D&trackingId=OhOdLFkVKEokfI8joX9NZA%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-argo-intern-4390126423?position=2&pageNum=2&refId=RyF9nGCU8Ona93PV5DIZpg%3D%3D&trackingId=OhOdLFkVKEokfI8joX9NZA%3D%3D,2026-03-25,4 hours ago,2026-03-25,21:57:48,hourly,24h,2026-03-25 22:18,,
"Data Analyst Intern (Excel, SQL, Power BI)",Wake Up Whistle,India,onsite,Job,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-wake-up-whistle-4390145655?position=3&pageNum=0&refId=2nNGgXdCzKN2Zj7c0n7MKA%3D%3D&trackingId=eUNEF0Wy5%2FGKlwAgY3DG%2Bg%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-wake-up-whistle-4390145655?position=3&pageNum=0&refId=2nNGgXdCzKN2Zj7c0n7MKA%3D%3D&trackingId=eUNEF0Wy5%2FGKlwAgY3DG%2Bg%3D%3D,2026-03-25,32 minutes ago,2026-03-25,21:57:48,hourly,24h,2026-03-25 22:18,,
Junior Data Analyst,Job Returns,India,onsite,Job,LinkedIn,4,https://in.linkedin.com/jobs/view/junior-data-analyst-at-job-returns-4389876889?position=28&pageNum=0&refId=VP%2B6VewpNf5dCCZreDVNWw%3D%3D&trackingId=pP%2BM5jwxwwgDrVIhk%2BUgQg%3D%3D,https://in.linkedin.com/jobs/view/junior-data-analyst-at-job-returns-4389876889?position=28&pageNum=0&refId=VP%2B6VewpNf5dCCZreDVNWw%3D%3D&trackingId=pP%2BM5jwxwwgDrVIhk%2BUgQg%3D%3D,2026-03-25,11 hours ago,2026-03-25,21:57:48,hourly,24h,2026-03-25 22:18,,
Data Analyst,Zetheta Algorithms Private Limited,Work from home,remote,Internship,Internshala - Internship,3,https://internshala.com/internship/detail/work-from-home-data-analyst-internship-at-zetheta-algorithms-private-limited1774434968,https://internshala.com/internship/detail/work-from-home-data-analyst-internship-at-zetheta-algorithms-private-limited1774434968,,,2026-03-25,22:01:12,hourly,24h,2026-03-25 22:18,,
Associate - Business Analyst-Business Analysis-Business Analyst,EXL,"Pune Division, Maharashtra, India",onsite,Job,LinkedIn,3,https://in.linkedin.com/jobs/view/associate-business-analyst-business-analysis-business-analyst-at-exl-4331895972?position=3&pageNum=0&refId=KXW1Wxp9t7PDML1qxavmGg%3D%3D&trackingId=BM3HtEdPJe39cl7988UsRA%3D%3D,https://in.linkedin.com/jobs/view/associate-business-analyst-business-analysis-business-analyst-at-exl-4331895972?position=3&pageNum=0&refId=KXW1Wxp9t7PDML1qxavmGg%3D%3D&trackingId=BM3HtEdPJe39cl7988UsRA%3D%3D,2026-03-25,3 hours ago,2026-03-25,21:57:48,hourly,24h,2026-03-25 22:18,,
Associate - Business Analyst-Business Process & Service Excellence -Business Analyst,EXL,"Noida, Uttar Pradesh, India",onsite,Job,LinkedIn,3,https://in.linkedin.com/jobs/view/associate-business-analyst-business-process-service-excellence-business-analyst-at-exl-4308943522?position=1&pageNum=0&refId=KXW1Wxp9t7PDML1qxavmGg%3D%3D&trackingId=mXlxhgvKsUXofk606x8DxA%3D%3D,https://in.linkedin.com/jobs/view/associate-business-analyst-business-process-service-excellence-business-analyst-at-exl-4308943522?position=1&pageNum=0&refId=KXW1Wxp9t7PDML1qxavmGg%3D%3D&trackingId=mXlxhgvKsUXofk606x8DxA%3D%3D,2026-03-25,4 hours ago,2026-03-25,21:57:48,hourly,24h,2026-03-25 22:18,,
Associate - Business Analyst-Reporting-MIS Reporting,EXL,"Bengaluru, Karnataka, India",onsite,Internship,LinkedIn,3,https://in.linkedin.com/jobs/view/associate-business-analyst-reporting-mis-reporting-at-exl-4318517467?position=28&pageNum=0&refId=dHcew6U2REAUMJIc3CL2Eg%3D%3D&trackingId=C3Uja5AuFe4DMhknh3cerw%3D%3D,https://in.linkedin.com/jobs/view/associate-business-analyst-reporting-mis-reporting-at-exl-4318517467?position=28&pageNum=0&refId=dHcew6U2REAUMJIc3CL2Eg%3D%3D&trackingId=C3Uja5AuFe4DMhknh3cerw%3D%3D,2026-03-25,3 hours ago,2026-03-25,21:57:48,hourly,24h,2026-03-25 22:18,,
Associate Business Analyst,Chord Tech Services Private Limited,"Hyderabad, Telangana, India",onsite,Job,LinkedIn,3,https://in.linkedin.com/jobs/view/associate-business-analyst-at-chord-tech-services-private-limited-4390101358?position=4&pageNum=2&refId=ApbPOpm1wFJMSoB2B2WtVA%3D%3D&trackingId=8sQ8xQfhp9bzStfbQYokdQ%3D%3D,https://in.linkedin.com/jobs/view/associate-business-analyst-at-chord-tech-services-private-limited-4390101358?position=4&pageNum=2&refId=ApbPOpm1wFJMSoB2B2WtVA%3D%3D&trackingId=8sQ8xQfhp9bzStfbQYokdQ%3D%3D,2026-03-25,9 hours ago,2026-03-25,21:57:48,hourly,24h,2026-03-25 22:18,,
Associate Data Analyst,Conscious Chemist,"Gurugram, Haryana, India",onsite,Job,LinkedIn,3,https://in.linkedin.com/jobs/view/associate-data-analyst-at-conscious-chemist-4390121443?position=8&pageNum=2&refId=RyF9nGCU8Ona93PV5DIZpg%3D%3D&trackingId=zqNEikvPaOT6%2BfPPWyKxwQ%3D%3D,https://in.linkedin.com/jobs/view/associate-data-analyst-at-conscious-chemist-4390121443?position=8&pageNum=2&refId=RyF9nGCU8Ona93PV5DIZpg%3D%3D&trackingId=zqNEikvPaOT6%2BfPPWyKxwQ%3D%3D,2026-03-25,5 hours ago,2026-03-25,21:57:48,hourly,24h,2026-03-25 22:18,,
