source_label,status,collected,kept,kept_after_dedup,dedup_dropped,passed_filters,filtered_noise,filtered_role,filtered_role_family,filtered_location,filtered_fresher,filtered_stale,error
LinkedIn,ok,2008,278,471,1537,1373,12,503,0,120,0,0,
Internshala,ok,2286,1816,2286,0,1866,121,113,0,186,0,0,
JobFound,ok,67,12,66,1,12,15,0,0,40,0,0,
Talentd,ok,8,8,8,0,8,0,0,0,0,0,0,
Unstop,ok,4,4,4,0,4,0,0,0,0,0,0,
CareerPage,failed,0,0,0,0,0,0,0,0,0,0,0,
Naukri,failed,0,0,0,0,0,0,0,0,0,0,0,
Foundit,failed,0,0,0,0,0,0,0,0,0,0,0,
Wellfound,failed,0,0,0,0,0,0,0,0,0,0,0,
Telegram,failed,0,0,0,0,0,0,0,0,0,0,0,
